,Id,Name,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
262,24847,Will Tye,TE,4900,NYJ@NYG,3.9,NYG,3.15,,,,6.11,4.338,4.532666667,6.11,3.15,2.96,0.653037211,1.577333333,7.15
263,22048,Robert Turbin,RB,4900,DAL@WAS,2.8,DAL,2.0,,4.43,,3.645,2.4235,3.124625,4.43,2.0,2.43,0.777693323,1.305375,2.5
264,24891,Chris Thompson,RB,4900,DAL@WAS,6.1,WAS,3.7,1.955,5.03,2.0,4.84,3.598,3.5205,5.03,1.955,3.075,0.873455475,1.5095,2.6
265,22054,Jarius Wright,WR,4900,SEA@MIN,3.5,MIN,3.15,3.23,2.92,4.05,2.79,3.921,3.3435,4.05,2.79,1.26,0.376850606,0.7065,2.5
266,7660,Fred Jackson,RB,4800,SEA@MIN,3.5,SEA,2.05,1.74,3.18,1.65,3.825,,2.489,3.825,1.65,2.175,0.873844918,1.336,7.9
267,26247,Brandon McManus,K,4800,DEN@SD,9.2,DEN,,,,,,,,,,,,,
268,26355,Logan Thomas,QB,4800,BAL@MIA,0.0,MIA,,,,,,,,,,,,,
269,28249,David Cobb,RB,4800,JAC@TEN,0.3,TEN,3.05,11.655,2.17,10.45,4.45,1.775,5.591666667,11.655,1.775,9.88,1.766915052,6.063333333,4.0
270,29605,Matt Barkley,QB,4800,ARI@STL,0.0,ARI,,,,,,,,,,,,,
271,14240,Lance Kendricks,TE,4800,ARI@STL,3.9,STL,,1.47,4.025,1.35,2.465,1.5305,2.1681,4.025,1.35,2.675,1.233799179,1.8569,
272,14305,Roy Helu,RB,4800,KC@OAK,2.3,OAK,,5.615,4.36,5.35,,,5.108333333,5.615,4.36,1.255,0.245676998,0.506666667,1.55
273,27266,Quincy Enunwa,WR,4800,NYJ@NYG,2.9,NYJ,2.1,,2.78,,3.88,,2.92,3.88,2.1,1.78,0.609589041,0.96,3.8
274,54753,Taylor Gabriel,WR,4800,CIN@CLE,3.5,CLE,,1.89,,,,,1.89,1.89,1.89,0.0,0.0,0.0,
275,29340,Josh Huff,WR,4800,PHI@NE,5.0,PHI,2.1,3.36,2.92,3.55,2.335,2.8405,2.850916667,3.55,2.1,1.45,0.508608342,0.699083333,
276,54607,Terrance West,RB,4800,BAL@MIA,1.6,BAL,2.55,,6.29,10.25,4.81,,5.975,10.25,2.55,7.7,1.288702929,4.275,3.65
277,22754,Garrett Celek,TE,4800,SF@CHI,4.2,SF,,1.47,,,,,1.47,1.47,1.47,0.0,0.0,0.0,
278,38301,Darren Fells,TE,4800,ARI@STL,4.8,ARI,1.05,1.05,3.21,,2.195,5.8495,2.6709,5.8495,1.05,4.7995,1.796959826,3.1786,2.25
279,32000,Luke Willson,TE,4800,SEA@MIN,2.7,SEA,3.65,1.365,4.8,1.35,4.22,3.271,3.109333333,4.8,1.35,3.45,1.109562607,1.690666667,3.7
280,29084,Rashad Ross,WR,4800,DAL@WAS,2.1,WAS,,,,,,,,,,,,,
281,27771,Cody Latimer,WR,4800,DEN@SD,1.5,DEN,1.55,,3.395,,,,2.4725,3.395,1.55,1.845,0.746208291,0.9225,
282,48344,Albert Wilson,WR,4800,KC@OAK,4.8,KC,2.1,,4.195,1.05,4.475,4.785,3.321,4.785,1.05,3.735,1.124661247,1.464,2.25
283,11488,Ed Dickson,TE,4800,CAR@NO,2.4,CAR,1.05,2.1,2.615,2.4,1.705,1.297,1.861166667,2.615,1.05,1.565,0.840870422,0.753833333,2.85
284,12550,Seattle Seahawks,D,4800,SEA@MIN,10.5,SEA,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,0.0,0.0,0.0,
285,33714,Cairo Santos,K,4800,KC@OAK,10.7,KC,,,,,,,,,,,,,
286,14704,Chris Hogan,WR,4800,HOU@BUF,5.7,BUF,3.1,1.47,4.42,1.35,3.875,2.177,2.732,4.42,1.35,3.07,1.123718887,1.688,1.25
287,24671,Adam Humphries,WR,4800,ATL@TB,3.4,TB,3.1,,3.45,,2.385,,2.978333333,3.45,2.385,1.065,0.357582541,0.471666667,
288,8023,Josh Johnson,QB,4800,HOU@BUF,0.0,BUF,,,,,,,,,,,,,
289,33691,Orleans Darkwa,RB,4800,NYJ@NYG,1.6,NYG,,1.405,3.715,1.3,2.4,1.7431,2.11262,3.715,1.3,2.415,1.143130331,1.60238,3.35
290,6815,Shayne Graham,K,4800,ATL@TB,4.0,ATL,,,,,,,,,,,,,
291,22234,Chris Polk,RB,4800,HOU@BUF,4.0,HOU,,1.215,4.325,1.25,3.395,2.3735,2.5117,4.325,1.215,3.11,1.2382052,1.8133,13.25
292,22187,Chandler Harnish,QB,4800,ARI@STL,0.0,ARI,,,,,,,,,,,,,
293,12541,New England Patriots,D,4800,PHI@NE,7.9,NE,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,0.0,0.0,0.0,
294,22110,Blair Walsh,K,4800,SEA@MIN,9.1,MIN,,,,,,,,,,,,,
295,6702,Phil Dawson,K,4800,SF@CHI,6.9,SF,,,,,,,,,,,,,
296,22130,Dan Herron,RB,4800,IND@PIT,1.4,IND,3.05,,5.0,,3.94,2.54,3.6325,5.0,2.54,2.46,0.677219546,1.3675,2.55
297,29683,Nelson Agholor,WR,4700,PHI@NE,2.8,PHI,3.1,2.52,2.455,2.6,3.925,3.05,2.941666667,3.925,2.455,1.47,0.499716714,0.983333333,
298,28346,Maxx Williams,TE,4700,BAL@MIA,3.2,BAL,,3.045,,,,,3.045,3.045,3.045,0.0,0.0,0.0,
299,14268,Stevan Ridley,RB,4700,NYJ@NYG,0.0,NYJ,,10.22,2.46,3.85,2.025,,4.63875,10.22,2.025,8.195,1.76663972,5.58125,
300,6427,Connor Barth,K,4700,ATL@TB,10.4,TB,,,,,,,,,,,,,
301,6488,Dwayne Bowe,WR,4700,CIN@CLE,0.9,CLE,,,,,2.085,,2.085,2.085,2.085,0.0,0.0,0.0,
302,28486,Corey (Philly) Brown,WR,4700,CAR@NO,5.9,CAR,,,,,,,,,,,,,
303,54674,Jeremy Butler,WR,4700,BAL@MIA,4.4,BAL,,,5.04,,3.75,,4.395,5.04,3.75,1.29,0.293515358,0.645,4.5
304,32429,Josh Lambo,K,4700,DEN@SD,8.2,SD,,,,,,,,,,,,,
305,22774,Jonas Gray,RB,4700,BAL@MIA,3.7,MIA,,,,,,,,,,,,,
306,25775,Clive Walford,TE,4700,KC@OAK,3.6,OAK,2.1,,2.895,,2.985,2.053,2.50825,2.985,2.053,0.932,0.371573806,0.47675,5.55
307,60745,Jason Myers,K,4700,JAC@TEN,8.6,JAC,,,,,,,,,,,,,
308,11504,Andre Roberts,WR,4700,DAL@WAS,2.8,WAS,,3.145,,2.8,,,2.9725,3.145,2.8,0.345,0.116063919,0.1725,
309,29003,Ka'Deem Carey,RB,4700,SF@CHI,1.6,CHI,,2.23,,2.65,,1.0815,1.987166667,2.65,1.0815,1.5685,0.78931477,0.662833333,7.7
310,39492,Josh Hill,TE,4700,CAR@NO,2.3,NO,,,4.01,,2.275,1.0085,2.431166667,4.01,1.0085,3.0015,1.234592445,1.578833333,1.2
311,9442,Brandon Tate,WR,4700,CIN@CLE,1.2,CIN,,,,,,3.4095,3.4095,3.4095,3.4095,0.0,0.0,0.0,
312,6896,Greg Jennings,WR,4700,BAL@MIA,2.2,MIA,,3.57,2.195,3.7,2.125,1.2135,2.5607,3.7,1.2135,2.4865,0.971023548,1.1393,
313,7761,Jared Cook,TE,4700,ARI@STL,4.8,STL,4.2,1.995,3.545,1.9,4.195,2.9915,3.13775,4.2,1.9,2.3,0.733009322,1.06225,2.35
314,12536,Kansas City Chiefs,D,4700,KC@OAK,9.3,KC,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0.0,0.0,-8.88e-16,
315,22100,Randy Bullock,K,4700,NYJ@NYG,6.7,NYJ,,,,,,,,,,,,,
316,6668,Adam Vinatieri,K,4700,IND@PIT,7.8,IND,,,,,,,,,,,,,
317,7784,Darrius Heyward-Bey,WR,4700,IND@PIT,3.8,PIT,,4.515,3.875,5.4,1.385,,3.79375,5.4,1.385,4.015,1.058319605,1.60625,2.15
318,7703,Jerome Simpson,WR,4700,SF@CHI,1.6,SF,,,3.915,,,,3.915,3.915,3.915,0.0,0.0,0.0,
319,24862,Rashad Greene,WR,4700,JAC@TEN,4.5,JAC,,,,,4.115,,4.115,4.115,4.115,0.0,0.0,0.0,7.6
320,14369,Jordan Todman,RB,4700,IND@PIT,0.2,PIT,,,2.45,,2.005,,2.2275,2.45,2.005,0.445,0.199775533,0.2225,
321,6768,Eddie Royal,WR,4700,SF@CHI,6.0,CHI,,9.57,,10.35,,3.309,7.743,10.35,3.309,7.041,0.909337466,2.607,
322,11635,Marc Mariani,WR,4700,SF@CHI,0.9,CHI,,,1.89,,2.895,,2.3925,2.895,1.89,1.005,0.420062696,0.5025,3.4
323,22004,Dwayne Allen,TE,4600,IND@PIT,2.5,IND,1.55,8.73,3.705,9.05,3.5,1.169,4.617333333,9.05,1.169,7.881,1.706829339,4.432666667,
324,33037,Kenbrell Thompkins,WR,4600,NYJ@NYG,4.8,NYJ,,,1.28,,,,1.28,1.28,1.28,0.0,0.0,0.0,
325,29593,Marqise Lee,WR,4600,JAC@TEN,2.0,JAC,4.15,4.925,3.29,4.6,6.07,4.596,4.605166667,6.07,3.29,2.78,0.603669791,1.464833333,2.15
326,22958,Bobby Rainey,RB,4600,ATL@TB,0.4,TB,,9.79,,9.2,,,9.495,9.79,9.2,0.59,0.062137967,0.295,
327,15176,Kai Forbath,K,4600,CAR@NO,5.7,NO,,,,,,,,,,,,,
328,10046,Antone Smith,RB,4600,SF@CHI,0.2,CHI,,,,,,,,,,,,,
329,39373,Jaelen Strong,WR,4600,HOU@BUF,3.9,HOU,,3.36,2.09,4.15,,2.1235,2.930875,4.15,2.09,2.06,0.702861773,1.219125,
330,54608,Jerick McKinnon,RB,4600,SEA@MIN,2.0,MIN,1.55,1.73,1.325,2.05,1.305,1.0449,1.500816667,2.05,1.0449,1.0051,0.669702051,0.549183333,2.55
331,14952,Dan Bailey,K,4600,DAL@WAS,8.5,DAL,,,,,,,,,,,,,
332,30261,Caleb Sturgis,K,4600,PHI@NE,7.9,PHI,,,,,,,,,,,,,
333,30297,Trey Burton,TE,4600,PHI@NE,0.5,PHI,,,,,,,,,,,,,
334,11454,Dexter McCluster,RB,4600,JAC@TEN,6.7,TEN,,,,,,,,,,,,,
335,62619,Andrew Franks,K,4600,BAL@MIA,5.0,MIA,,,,,,,,,,,,,
336,11479,Toby Gerhart,RB,4600,JAC@TEN,1.2,JAC,,9.235,,,,,9.235,9.235,9.235,0.0,0.0,0.0,
337,12544,New York Jets,D,4600,NYJ@NYG,7.3,NYJ,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.0,0.0,0.0,
338,39649,Benny Cunningham,RB,4600,ARI@STL,3.4,STL,2.1,3.4,2.535,1.05,,,2.27125,3.4,1.05,2.35,1.034672537,1.12875,
339,39449,Charles Johnson,WR,4600,SEA@MIN,1.9,MIN,3.1,2.83,2.75,3.55,,2.1866,2.88332,3.55,2.1866,1.3634,0.472857678,0.66668,
340,33703,Ryan Grant,WR,4600,DAL@WAS,3.3,WAS,,,,,,2.6605,2.6605,2.6605,2.6605,0.0,0.0,0.0,
