,Unnamed: 0,player,espn,dk_name
181,251,Riley Cooper,3.9,Riley Cooper
182,252,Isaiah Crowell,5.09,Isaiah Crowell
183,253,Nelson Agholor,3.925,Nelson Agholor
184,254,Jonathan Grimes,4.46,Jonathan Grimes
185,255,Mohamed Sanu,4.63,Mohamed Sanu
186,256,Jerricho Cotchery,4.035,Jerricho Cotchery
187,257,Brandon Bolden,5.035,Brandon Bolden
188,258,Zach Miller,4.05,Zach Miller
189,259,James White,5.17,James White
190,260,Rashad Greene,4.115,Rashad Greene
191,261,Owen Daniels,3.96,Owen Daniels
192,262,Seth Roberts,4.23,Seth Roberts
193,263,Ryan Griffin,4.265,Ryan Griffin
194,264,David Cobb,4.45,David Cobb
195,265,Luke Willson,4.22,Luke Willson
196,266,Jamison Crowder,4.155,Jamison Crowder
197,267,Devin Smith,3.685,Devin Smith
198,268,Stepfan Taylor,3.9,Stepfan Taylor
199,269,Dwayne Allen,3.5,Dwayne Allen
200,270,Marc Mariani,2.895,Marc Mariani
201,271,Chris Hogan,3.875,Chris Hogan
202,272,Corey Fuller,3.54,NaN
203,273,Quincy Enunwa,3.88,Quincy Enunwa
204,274,Andre Johnson,3.49,Andre Johnson
205,275,Kyle Juszczyk,4.065,Kyle Juszczyk
206,276,Fred Jackson,3.825,Fred Jackson
207,277,T.J. Graham,3.64,NaN
208,279,Cole Beasley,2.795,Cole Beasley
209,280,Mike Tolbert,3.9,Mike Tolbert
210,281,Chris Thompson,4.84,Chris Thompson
211,282,Daniel Herron,3.94,Dan Herron
212,283,Torrey Smith,3.465,Torrey Smith
213,284,Brian Quick,2.72,Brian Quick
214,285,Robert Turbin,3.645,Robert Turbin
215,286,Jarius Wright,2.79,Jarius Wright
216,288,Denard Robinson,3.27,Denard Robinson
217,289,Bradley Marquez,3.155,Bradley Marquez
218,290,Asante Cleveland,2.89,NaN
219,291,Joique Bell,3.82,NaN
220,293,Anthony Fasano,2.975,Anthony Fasano
221,294,Clive Walford,2.985,Clive Walford
222,295,Corey Brown,3.675,NaN
223,296,Mychal Rivera,3.225,Mychal Rivera
224,297,Jermaine Gresham,3.2,Jermaine Gresham
225,298,Tre Mason,3.415,Tre Mason
226,299,Marcedes Lewis,2.925,Marcedes Lewis
227,300,Hakeem Nicks,2.6,Hakeem Nicks
228,301,Justin Perillo,1.975,NaN
229,302,Josh Huff,2.335,Josh Huff
230,303,Josh Hill,2.275,Josh Hill
231,304,Darren Fells,2.195,Darren Fells
232,305,Jerome Cunningham,2.04,NaN
233,307,Griff Whalen,2.435,Griff Whalen
234,308,Adam Humphries,2.385,Adam Humphries
235,309,Brandon Pettigrew,1.995,NaN
236,310,J.J. Nelson,2.63,NaN
237,311,Chris Polk,3.395,Chris Polk
238,312,Ed Dickson,1.705,Ed Dickson
239,313,Boobie Dixon,2.425,NaN
240,314,Marcel Reece,2.27,Marcel Reece
241,315,Nick Boyle,2.59,Nick Boyle
242,316,Jordan Todman,2.005,Jordan Todman
243,317,Lance Kendricks,2.465,Lance Kendricks
244,318,Nick Williams,2.57,Nick Williams
245,319,Matt Spaeth,1.75,NaN
246,320,Greg Jennings,2.125,Greg Jennings
247,321,Stevan Ridley,2.025,Stevan Ridley
248,322,Bruce Ellington,1.87,Bruce Ellington
249,323,Andre Holmes,2.085,Andre Holmes
250,324,Joshua Bellamy,2.125,Josh Bellamy
251,325,Brent Celek,2.03,Brent Celek
252,326,Tevin Coleman,2.105,Tevin Coleman
253,327,Jason Avant,2.62,Jason Avant
254,329,Chris Conley,2.06,Chris Conley
255,330,Kevin Smith,2.075,Kevin Smith
256,331,Derek Carrier,1.79,Derek Carrier
257,332,Daniel Brown,2.16,NaN
258,333,Dwayne Bowe,2.085,Dwayne Bowe
259,334,Miles Austin,2.275,Miles Austin
260,335,Blake Bell,2.24,Blake Bell
261,336,Orleans Darkwa,2.4,Orleans Darkwa
262,337,Quinton Patton,2.74,Quinton Patton
263,338,Andre Williams,2.125,Andre Williams
264,339,Bennie Fowler,1.72,Bennie Fowler
265,340,Wes Welker,1.375,Wes Welker
266,341,Jamize Olawale,2.59,Jamize Olawale
267,342,Michael Williams,1.435,NaN
268,343,Ryan Hewitt,1.565,NaN
269,344,Cooper Helfet,1.61,NaN
270,345,Gavin Escobar,1.435,Gavin Escobar
271,346,Matt Asiata,2.07,Matt Asiata
272,347,Fozzy Whittaker,1.19,NaN
273,348,Lee Smith,1.195,Lee Smith
274,349,Michael Hoomanawanui,1.615,Michael Hoomanawanui
275,350,Dion Sims,1.415,Dion Sims
276,351,Craig Stevens,1.38,Craig Stevens
277,353,TJ Jones,1.61,NaN
278,354,Andre Caldwell,1.485,Andre Caldwell
279,356,C.J. Fiedorowicz,1.28,C.J. Fiedorowicz
280,360,C.J. Uzomah,1.04,NaN
281,361,Jalston Fowler,1.265,NaN
282,362,Jerick McKinnon,1.305,Jerick McKinnon
283,365,Kellen Davis,1.235,Kellen Davis
284,366,Neal Sterling,1.47,NaN
285,367,Darrius Heyward-Bey,1.385,Darrius Heyward-Bey
286,370,Devin Hester,1.135,NaN
287,377,Rhett Ellison,1.015,Rhett Ellison
288,384,Akeem Hunt,1.255,NaN
