,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fire,average,max,min,range,rel_range,upside,final
32,Andy Dalton,QB,6400,Cin@Cle 01:00PM ET,21.813,Cin,20.1,18.94,18.15,23.4,19.586,22.968,20.524,23.4,18.15,5.25,0.25579809,2.876,23.9
33,Mark Ingram,RB,6400,Car@NO 04:25PM ET,17.045,NO,20.0,12.7,15.55,12.9,19.78,13.429,15.7265,20.0,12.7,7.3,0.464184656,4.2735,19.9
34,Marshawn Lynch,RB,6300,Sea@Min 01:00PM ET,12.243,Sea,,,,,,,,,,,,,
35,Eric Decker,WR,6300,NYJ@NYG 01:00PM ET,16.8,NYJ,19.0,19.4,13.67,20.6,16.58,12.534,16.964,20.6,12.534,8.066,0.475477482,3.636,21.1
36,Brandin Cooks,WR,6300,Car@NO 04:25PM ET,15.309,NO,13.5,17.8,16.58,18.0,12.91,13.073,15.3105,18.0,12.91,5.09,0.332451586,2.6895,25.4
37,Derek Carr,QB,6200,KC@Oak 04:05PM ET,20.6,Oak,18.3,16.64,16.5,19.14,17.912,18.4206,17.81876667,19.14,16.5,2.64,0.148158402,1.321233333,16.32
38,Blake Bortles,QB,6000,Jax@Ten 01:00PM ET,20.689,Jax,20.0,23.56,16.75,18.52,17.866,17.3404,19.00606667,23.56,16.75,6.81,0.358306646,4.553933333,35.78
39,Peyton Manning,QB,5900,Den@SD 04:05PM ET,12.422,Den,,,,,,,,,,,,,
40,Chris Ivory,RB,5900,NYJ@NYG 01:00PM ET,16.66,NYJ,15.0,18.0,12.9,16.4,13.03,14.536,14.97766667,18.0,12.9,5.1,0.340506977,3.022333333,10.9
41,Doug Martin,RB,5900,Atl@TB 01:00PM ET,16.245,TB,20.0,20.2,13.31,12.9,16.2,16.67,16.54666667,20.2,12.9,7.3,0.441176471,3.653333333,16.0
42,DeMarco Murray,RB,5800,Phi@NE 04:25PM ET,15.5,Phi,11.0,14.9,13.07,15.2,15.54,16.027,14.2895,16.027,11.0,5.027,0.351796774,1.7375,2.4
43,Lamar Miller,RB,5800,Bal@Mia 01:00PM ET,16.073,Mia,12.5,12.6,14.98,7.8,15.49,14.767,13.02283333,15.49,7.8,7.69,0.590501299,2.467166667,14.8
44,Tyler Eifert,TE,5800,Cin@Cle 01:00PM ET,15.745,Cin,,19.8,,20.1,,,19.95,20.1,19.8,0.3,0.015037594,0.15,
45,Jordan Matthews,WR,5800,Phi@NE 04:25PM ET,13.045,Phi,16.0,12.0,11.48,11.3,13.07,11.811,12.61016667,16.0,11.3,4.7,0.372715137,3.389833333,12.6
46,Delanie Walker,TE,5700,Jax@Ten 01:00PM ET,15.28,Ten,18.5,18.8,8.59,19.0,13.66,13.992,15.42366667,19.0,8.59,10.41,0.674936785,3.576333333,23.2
47,LeSean McCoy,RB,5700,Hou@Buf 01:00PM ET,17.322,Buf,19.5,14.7,15.99,15.5,24.21,17.277,17.86283333,24.21,14.7,9.51,0.532390345,6.347166667,14.2
48,T.Y. Hilton,WR,5700,Ind@Pit 08:30PM ET,15.082,Ind,18.5,19.3,16.39,26.4,16.15,15.152,18.64866667,26.4,15.152,11.248,0.60315304,7.751333333,6.6
49,Allen Hurns,WR,5700,Jax@Ten 01:00PM ET,15.8,Jax,,18.0,,,,,18.0,18.0,18.0,0.0,0.0,0.0,
50,DeAngelo Williams,RB,5600,Ind@Pit 08:30PM ET,12.982,Pit,20.5,15.9,15.46,17.5,22.19,17.154,18.11733333,22.19,15.46,6.73,0.371467471,4.072666667,23.5
51,Tony Romo,QB,5600,Dal@Was 08:30PM ET,12.915,Dal,,,,,,,,,,,,,
52,Russell Wilson,QB,5600,Sea@Min 01:00PM ET,19.529,Sea,15.5,25.04,17.63,15.64,18.598,18.4734,18.48023333,25.04,15.5,9.54,0.516227248,6.559766667,34.06
53,Martavis Bryant,WR,5600,Ind@Pit 08:30PM ET,20.35,Pit,20.5,17.9,11.99,18.2,15.35,12.481,16.07016667,20.5,11.99,8.51,0.529552691,4.429833333,24.4
54,Sammy Watkins,WR,5600,Hou@Buf 01:00PM ET,14.95,Buf,20.5,16.0,12.33,8.6,14.62,13.251,14.21683333,20.5,8.6,11.9,0.837035908,6.283166667,22.9
55,Marcus Mariota,QB,5500,Jax@Ten 01:00PM ET,19.051,Ten,18.1,29.28,15.19,20.28,17.98,15.5672,19.39953333,29.28,15.19,14.09,0.726306131,9.880466667,40.92
56,Javorius Allen,RB,5400,Bal@Mia 01:00PM ET,6.082,Bal,19.0,14.6,11.88,17.6,16.18,13.978,15.53966667,19.0,11.88,7.12,0.458182286,3.460333333,38.0
57,Thomas Rawls,RB,5400,Sea@Min 01:00PM ET,10.264,Sea,17.5,26.2,14.03,18.2,14.67,14.158,17.45966667,26.2,14.03,12.17,0.697035071,8.740333333,23.3
58,Matt Hasselbeck,QB,5300,Ind@Pit 08:30PM ET,17.555,Ind,18.2,12.4,16.84,14.04,17.574,16.3796,15.9056,18.2,12.4,5.8,0.364651444,2.2944,7.86
59,Gary Barnidge,TE,5300,Cin@Cle 01:00PM ET,16.527,Cle,18.5,19.0,12.98,19.5,14.16,14.433,16.42883333,19.5,12.98,6.52,0.396863238,3.071166667,10.9
60,Darren McFadden,RB,5300,Dal@Was 08:30PM ET,13.009,Dal,15.5,14.1,12.9,8.4,15.77,15.433,13.68383333,15.77,8.4,7.37,0.538591769,2.086166667,10.9
61,Jonathan Stewart,RB,5300,Car@NO 04:25PM ET,12.327,Car,16.5,16.5,12.88,17.4,15.53,15.371,15.69683333,17.4,12.88,4.52,0.28795617,1.703166667,19.3
62,Ryan Tannehill,QB,5300,Bal@Mia 01:00PM ET,18.84,Mia,18.3,18.18,19.49,19.68,19.194,15.6156,18.40993333,19.68,15.6156,4.0644,0.220772119,1.270066667,8.54
63,Jordan Reed,TE,5300,Dal@Was 08:30PM ET,15.9,Was,17.0,12.2,13.74,5.8,11.81,14.912,12.577,17.0,5.8,11.2,0.890514431,4.423,6.3
64,Jeremy Langford,RB,5300,SF@Chi 01:00PM ET,10.545,Chi,18.0,4.9,13.41,12.4,12.42,10.648,11.963,18.0,4.9,13.1,1.095043049,6.037,8.8
65,Jameis Winston,QB,5300,Atl@TB 01:00PM ET,18.136,TB,18.0,20.46,17.81,18.16,16.274,17.0752,17.9632,20.46,16.274,4.186,0.233031976,2.4968,19.58
66,Ryan Fitzpatrick,QB,5200,NYJ@NYG 01:00PM ET,17.976,NYJ,19.6,21.48,17.21,25.2,19.388,18.981,20.30983333,25.2,17.21,7.99,0.393405493,4.890166667,28.8
67,Jeremy Maclin,WR,5200,KC@Oak 04:05PM ET,16.1,KC,13.5,18.2,15.96,19.2,14.28,14.421,15.92683333,19.2,13.5,5.7,0.357886586,3.273166667,29.5
68,Tyrod Taylor,QB,5200,Hou@Buf 01:00PM ET,19.089,Buf,15.0,15.14,17.44,12.6,16.916,16.1798,15.54596667,17.44,12.6,4.84,0.311334773,1.894033333,29.24
69,Kirk Cousins,QB,5200,Dal@Was 08:30PM ET,17.88,Was,18.1,16.44,16.5,13.4,13.35,16.9636,15.79226667,18.1,13.35,4.75,0.300780129,2.307733333,13.36
70,Travis Benjamin,WR,5200,Cin@Cle 01:00PM ET,16.355,Cle,19.5,17.0,10.68,15.7,14.15,12.744,14.96233333,19.5,10.68,8.82,0.58948025,4.537666667,
71,Brock Osweiler,QB,5200,Den@SD 04:05PM ET,10.81,Den,18.5,22.42,16.92,24.3,15.994,17.1836,19.2196,24.3,15.994,8.306,0.432163,5.0804,9.74
72,Charcandrick West,RB,5200,KC@Oak 04:05PM ET,9.72,KC,14.5,14.8,13.53,15.3,14.37,13.897,14.3995,15.3,13.53,1.77,0.122920935,0.9005,6.4
73,Josh McCown,QB,5100,Cin@Cle 01:00PM ET,18.895,Cle,,,,,,,,,,,,,
74,Matt Cassel,QB,5100,Dal@Was 08:30PM ET,10.097,Dal,13.3,24.56,12.93,15.38,13.288,13.8766,15.55576667,24.56,12.93,11.63,0.747632711,9.004233333,8.58
75,Jay Cutler,QB,5100,SF@Chi 01:00PM ET,17.67,Chi,19.1,18.04,17.9,19.22,17.272,18.9736,18.4176,19.22,17.272,1.948,0.105768395,0.8024,8.08
76,Alex Smith,QB,5100,KC@Oak 04:05PM ET,17.595,KC,16.1,16.98,18.4,19.44,16.258,17.676,17.47566667,19.44,16.1,3.34,0.191122895,1.964333333,24.78
77,Mark Sanchez,QB,5100,Phi@NE 04:25PM ET,12.613,Phi,,,,,,,,,,,,,
