
"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Jarius Wright, MinWRQ",SD,W 31-14,0/0,0,0,0,0,0,0,3,28,0,4,0,0,0,2
"Mohamed Sanu, CinWR",@Bal,W 28-24,0/0,0,0,0,1,6,0,2,28,0,4,0,0,0,2
"Chris Givens, StLWR",Pit,L 6-12,0/0,0,0,0,1,24,0,0,0,0,0,0,0,0,2
"Garrett Celek, SFTE",@Ari,L 7-47,0/0,0,0,0,0,0,0,3,29,0,3,0,0,0,2
"Jonathan Grimes, HouRBQ",TB,W 19-9,0/0,0,0,0,6,19,0,4,19,0,4,0,0,0,2
"Justin Hunter, TenWR",Ind,L 33-35,0/0,0,0,0,0,0,0,1,29,0,2,0,0,0,2
"Levine Toilolo, AtlTE",@Dal,W 39-28,0/0,0,0,0,0,0,0,1,6,0,1,1,0,0,2
"Benjamin Cunningham, StLRB",Pit,L 6-12,0/0,0,0,0,1,12,0,2,18,0,2,0,0,0,2
"Marlon Brown, BalWR",Cin,L 24-28,0/0,0,0,0,0,0,0,2,29,0,5,0,0,0,2
"Teddy Bridgewater, MinQB",SD,W 31-14,13/24,121,0,1,1,-1,0,0,0,0,0,0,0,0,2
"Tre Mason, StLRB",Pit,L 6-12,0/0,0,0,0,9,16,0,1,15,0,1,0,0,0,2
"Jeremy Hill, CinRB",@Bal,W 28-24,0/0,0,0,0,12,21,0,0,0,0,0,0,0,0,2

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"James White, NERB",Jax,W 51-17,0/0,0,0,0,2,8,0,4,26,0,4,0,0,0,2
"Branden Oliver, SDRB",@Min,L 14-31,0/0,0,0,0,8,26,0,0,0,0,1,0,0,0,2
"Cairo Santos, KCK",@GB,L 28-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Taylor Gabriel, CleWR",Oak,L 20-27,0/0,0,0,0,0,0,0,3,28,0,5,0,0,0,2
"Jay Prosch, HouRB",TB,W 19-9,0/0,0,0,0,3,24,0,0,0,0,0,0,0,0,2
"Kyle Brindza, TBK",@Hou,L 9-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Josh Lambo, SDK",@Min,L 14-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Phil Dawson, SFK",@Ari,L 7-47,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Michael Vick, PitQB",@StL,W 12-6,5/6,38,0,0,2,-2,0,0,0,0,0,0,0,0,1
"Anquan Boldin, SFWR",@Ari,L 7-47,0/0,0,0,0,0,0,0,2,16,0,3,0,0,0,1
"Heath Miller, PitTE",@StL,W 12-6,0/0,0,0,0,0,0,0,2,17,0,3,0,0,0,1
"Lance Moore, DetWR",Den,L 12-24,0/0,0,0,0,0,0,0,2,10,0,3,0,0,0,1
"Greg Jennings, MiaWR",Buf,L 14-41,0/0,0,0,0,0,0,0,1,10,0,3,0,0,0,1
"Fred Jackson, SeaRB",Chi,W 26-0,0/0,0,0,0,2,13,0,2,9,0,2,0,0,0,1
"Marshawn Lynch, SeaRBQ",Chi,W 26-0,0/0,0,0,0,5,14,0,1,9,0,1,0,0,0,1
"Eddie Royal, ChiWR",@Sea,L 0-26,0/0,0,0,0,0,0,0,3,17,0,3,0,0,0,1
"Martellus Bennett, ChiTE",@Sea,L 0-26,0/0,0,0,0,0,0,0,4,15,0,5,0,0,0,1
"Darrius Heyward-Bey, PitWR",@StL,W 12-6,0/0,0,0,0,0,0,0,3,19,0,3,0,0,0,1
"Brandon Myers, TBTE",@Hou,L 9-19,0/0,0,0,0,0,0,0,3,18,0,4,0,0,0,1
"Toby Gerhart, JaxRB",@NE,L 17-51,0/0,0,0,0,3,10,0,0,0,0,0,0,0,0,1
"Andre Roberts, WshWR",@NYG,L 21-32,0/0,0,0,0,0,0,0,1,18,0,3,0,0,0,1
"Ed Dickson, CarTE",NO,W 27-22,0/0,0,0,0,0,0,0,2,19,0,3,0,0,0,1
"Andrew Quarless*, GBTEIR",KC,W 38-28,0/0,0,0,0,0,0,0,2,14,0,2,0,0,0,1
"Jeff Cumberland, NYJTEQ",Phi,L 17-24,0/0,0,0,0,0,0,0,2,10,0,4,0,0,0,1
"Marlon Moore, CleWR",Oak,L 20-27,0/0,0,0,0,0,0,0,1,15,0,1,0,0,0,1
"Andrew Hawkins, CleWR",Oak,L 20-27,0/0,0,0,0,0,0,0,2,18,0,6,0,0,0,1
"Lance Kendricks, StLTE",Pit,L 6-12,0/0,0,0,0,0,0,0,2,12,0,5,0,0,0,1
"Kyle Rudolph, MinTE",SD,W 31-14,0/0,0,0,0,0,0,0,2,14,0,5,0,0,0,1
"Taiwan Jones, OakRB, CBQ",@Cle,W 27-20,0/0,0,0,0,2,16,0,0,0,0,0,0,0,0,1
"Jordan Cameron, MiaTEQ",Buf,L 14-41,0/0,0,0,0,0,0,0,3,16,0,7,0,0,0,1
"Roy Helu, OakRB",@Cle,W 27-20,0/0,0,0,0,0,0,0,1,12,0,1,0,0,0,1
"Matt Asiata, MinRB",SD,W 31-14,0/0,0,0,0,2,10,0,2,5,0,2,0,0,0,1
"Michael Floyd, AriWR",SF,W 47-7,0/0,0,0,0,0,0,0,1,12,0,5,0,0,0,1
"Alfred Morris, WshRB",@NYG,L 21-32,0/0,0,0,0,6,19,0,0,0,0,0,0,0,0,1
"Fozzy Whittaker, CarRB",NO,W 27-22,0/0,0,0,0,0,0,0,1,14,0,1,0,0,0,1
"Markus Wheaton, PitWR",@StL,W 12-6,0/0,0,0,0,0,0,0,2,16,0,3,0,0,0,1
"Kyle Juszczyk, BalRB",Cin,L 24-28,0/0,0,0,0,0,0,0,2,11,0,3,0,0,0,1
"C.J. Anderson, DenRB",@Det,W 24-12,0/0,0,0,0,8,18,0,1,9,0,1,0,0,0,1
"Josh Hill, NOTE",@Car,L 22-27,0/0,0,0,0,0,0,0,1,10,0,1,0,0,0,1
"Jake Stoneburner, MiaTE",Buf,L 14-41,0/0,0,0,0,0,0,0,1,13,0,1,0,0,0,1
"Jerick McKinnon, MinRB",SD,W 31-14,0/0,0,0,0,6,18,0,0,0,0,1,0,0,0,1
"Richard Rodgers, GBTE",KC,W 38-28,0/0,0,0,0,0,0,0,2,15,0,4,0,0,0,1
"Marqise Lee, JaxWRQ",@NE,L 17-51,0/0,0,0,0,0,0,0,1,13,0,2,0,0,0,1
"De'Anthony Thomas, KCRB, WR",@GB,L 28-38,0/0,0,0,0,1,-7,0,2,12,0,2,0,0,0,1
"Damien Williams, MiaRB",Buf,L 14-41,0/0,0,0,0,2,17,0,1,5,0,3,0,0,0,1
"Juwan Thompson, DenRBP",@Det,W 24-12,0/0,0,0,0,3,11,0,0,0,0,0,0,0,0,1
"Michael Campanaro, BalWR",Cin,L 24-28,0/0,0,0,0,1,8,0,2,11,0,2,0,0,0,1
"Brenton Bersin, CarWR",NO,W 27-22,0/0,0,0,0,0,0,0,1,13,0,2,0,0,0,1
"Corey Brown, CarWRQ",NO,W 27-22,0/0,0,0,0,1,12,0,0,0,0,0,0,0,0,1
"Adam Thielen, MinWR",SD,W 31-14,0/0,0,0,0,0,0,0,2,16,0,4,0,0,0,1

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Darren Fells, AriTE",SF,W 47-7,0/0,0,0,0,0,0,0,1,13,0,2,0,0,0,1
"Nick Boyle, BalTE",Cin,L 24-28,0/0,0,0,0,0,0,0,2,19,0,2,0,0,0,1
"Javorius Allen, BalRB",Cin,L 24-28,0/0,0,0,0,3,12,0,0,0,0,0,0,0,0,1
"Chris Conley, KCWRP",@GB,L 28-38,0/0,0,0,0,0,0,0,1,16,0,1,0,0,0,1
"Devin Funchess, CarWR",NO,W 27-22,0/0,0,0,0,0,0,0,1,14,0,4,0,0,0,1
"Matt Jones, WshRB",@NYG,L 21-32,0/0,0,0,0,11,38,0,0,0,0,0,0,1,0,1
"Alonzo Harris, GBRB",KC,W 38-28,0/0,0,0,0,2,17,0,0,0,0,0,0,0,0,1
Bengals D/STD/ST,@Bal,W 28-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tony Gonzalez, AtlTE",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jon Kitna, DalQB",Atl,L 28-39,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Hasselbeck, IndQB",@Ten,W 35-33,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Stokley, BalWR",Cin,L 24-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plaxico Burress, PitWR",@StL,W 12-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rian Lindell, TBK",@Hou,L 9-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santana Moss, WshWR",@NYG,L 21-32,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drew Brees, NOQBQ",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaun Hill, MinQB",SD,W 31-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre Johnson, IndWRP",@Ten,W 35-33,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rex Grossman, AtlQB",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Willis McGahee, CleRB",Oak,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallas Clark, BalTE",Cin,L 24-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nate Burleson, CleWR",Oak,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Visanthe Shiancoe, TenTE",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seneca Wallace, GBQB",KC,W 38-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Lloyd, SFWR",@Ari,L 7-47,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Walter, TenWR",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Romo*, DalQBIR",Atl,L 28-39,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antonio Gates, SDTESSPD",@Min,L 14-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kassim Osgood, SFWR",@Ari,L 7-47,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kellen Winslow, NYJTE",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steven Jackson, AtlRB",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greg Jones, NORB",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Hartsock, CarTE",NO,W 27-22,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Schaub, BalQB",Cin,L 24-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerricho Cotchery, CarWRD",NO,W 27-22,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wes Welker, DenWR",@Det,W 24-12,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vonta Leach, BalRB",Cin,L 24-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ronnie Brown, SDRB",@Min,L 14-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Campbell, CinQB",@Bal,W 28-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roddy White, AtlWR",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Courtney Roby, AtlWR",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Smith, NOTE",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kyle Orton, BufQB",@Mia,W 41-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Jacobs, NYGRB",Wsh,W 32-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dan Orlovsky, DetQB",Den,L 12-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joel Dreessen, DenTE",@Det,W 24-12,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derek Anderson, CarQB",NO,W 27-22,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Cassel, DalQB",Atl,L 28-39,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Billy Bajema, BalTE",Cin,L 24-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joshua Cribbs, IndWR",@Ten,W 35-33,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Robbie Gould, ChiK",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaun Suisham*, PitKIR",@StL,W 12-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Kuhn, GBRB",KC,W 38-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reggie Bush, SFRBP",@Ari,L 7-47,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vince Young, GBQB",KC,W 38-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vernon Davis, SFTEQ",@Ari,L 7-47,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Jay Cutler*, ChiQBO",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santonio Holmes, ChiWR",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeAngelo Williams, PitRB",@StL,W 12-6,0/0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Marcedes Lewis, JaxTE",@NE,L 17-51,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Devin Hester, AtlWRQ",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maurice Jones-Drew, OakRB",@Cle,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Scheffler, DetTE",Den,L 12-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarvaris Jackson, SeaQB",Chi,W 26-0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlie Whitehurst, TenQB",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derek Hagan, TenWR",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Robinson, SeaRB",Chi,W 26-0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brad Smith, PhiWR",@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Avant, KCWRP",@GB,L 28-38,0/0,0,0,0,0,0,0,2,8,0,4,0,0,0,0
"Leon Washington, TenRB",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Domenik Hixon, CarWR",NO,W 27-22,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jeff King, AriTE",SF,W 47-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruce Gradkowski*, PitQBIR",@StL,W 12-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Obomanu, NYJWR",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montell Owens, ChiRB",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miles Austin, PhiWR",@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Micheal Spurlock, ChiWR",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brady Quinn, MiaQB",Buf,L 14-41,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dwayne Bowe, CleWR",Oak,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robert Meachem, NOWR",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Kolb, BufQB",@Mia,W 41-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zach Miller, SeaTE",Chi,W 26-0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drew Stanton, AriQB",SF,W 47-7,0/0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0
"Sidney Rice, SeaWR",Chi,W 26-0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Leonard, NORB",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacoby Jones, SDWRQ",@Min,L 14-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Spaeth*, PitTEO",@StL,W 12-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trent Edwards, OakQB",@Cle,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Bush, AriRB",SF,W 47-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Le'Ron McClain, SDRB",@Min,L 14-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Rosario, ChiTE",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brent Celek, PhiTE",@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan Palmer, TenQB",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Thigpen, CleQB",Oak,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clark Harris, CinTE",@Bal,W 28-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Snelling, AtlRB",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pierre Thomas, NORB",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eric Weems, AtlWR",@Dal,W 39-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Prater, DetK",Den,L 12-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Moore, MiaQB",Buf,L 14-41,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Jackie Battle, TenRB",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Felix Jones, PitRB",@StL,W 12-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rashard Mendenhall, AriRB",SF,W 47-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dustin Keller, MiaTE",Buf,L 14-41,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donnie Avery, KCWR",@GB,L 28-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordy Nelson*, GBWRIR",KC,W 38-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Carlson, AriTE",SF,W 47-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerome Simpson, SFWRSSPD",@Ari,L 7-47,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fred Davis, WshTE",@NYG,L 21-32,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeSean Jackson, WshWRQ",@NYG,L 21-32,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad Henne, JaxQB",@NE,L 17-51,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Earl Bennett, ChiWR",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jermichael Finley, GBTE",KC,W 38-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mario Manningham, NYGWR",Wsh,W 32-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre Caldwell, DenWR",@Det,W 24-12,0/0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
"Tashard Choice, IndRB",@Ten,W 35-33,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerome Felton, BufRB",@Mia,W 41-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavelle Hawkins, TBWR",@Hou,L 9-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacob Tamme, AtlTEQ",@Dal,W 39-28,0/0,0,0,0,0,0,0,1,8,0,1,0,0,0,0
"Tim Hightower, NORB",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Slater, NEWR",Jax,W 51-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dennis Dixon, AriQB",SF,W 47-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kellen Davis, NYJTE",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Johnson, NYJQB",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Morgan, NOWR",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jalen Parmele, CleRB",Oak,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spencer Larsen, TBRB",@Hou,L 9-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lex Hilliard, NYJRB",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matt Flynn, NYJQB",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peyton Hillis, NYGRB",Wsh,W 32-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jed Collins, DetRB",Den,L 12-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caleb Jeffrey Hanie, DalQB",Atl,L 28-39,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garrett Hartley*, PitKIR",@StL,W 12-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davone Bess, CleWR",Oak,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Mulligan, BufTE",@Mia,W 41-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BenJarvus Green-Ellis, CinRB",@Bal,W 28-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darius Reynaud, ChiRB",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Armstrong, CleWR",Oak,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chase Daniel, KCQB",@GB,L 28-38,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Freeman, MiaQB",Buf,L 14-41,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Graham Harrell, NYJQB",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Hoyer, HouQB",TB,W 19-9,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curtis Painter, NYGQB",Wsh,W 32-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mark Sanchez, PhiQB",@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pat White, WshQB",@NYG,L 21-32,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kahlil Bell, GBRB",KC,W 38-28,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donald Brown, SDRB",@Min,L 14-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andre Brown, HouRB",TB,W 19-9,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Fiammetta, ChiRB",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arian Foster, HouRBQ",TB,W 19-9,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Mike Goodson, NYJRB",Phi,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shonn Greene, TenRB",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Johnson, SDTE",@Min,L 14-31,0/0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Quinn Johnson, TenRB",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jorvorskie Lane, TBRB",@Hou,L 9-19,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Ogbonnaya, NYGRB",Wsh,W 32-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cedric Peerman, CinRB",@Bal,W 28-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kory Sheets, OakRB",@Cle,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcus Thigpen, BufRB",@Mia,W 41-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Travis Beckum, NOTE",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"James Casey, DenTE",@Det,W 24-12,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chase Coffman, TenTE",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jared Cook, StLTE",Pit,L 6-12,0/0,0,0,0,0,0,0,1,7,0,3,0,0,0,0
"Cameron Morrah, DenTE",@Det,W 24-12,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear Pascoe, ChiTE",@Sea,L 0-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Pettigrew, DetTEQ",Den,L 12-24,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Richard Quinn, NOTE",@Car,L 22-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kory Sperry, MinTE",SD,W 31-14,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramses Barden, JaxWR",@NE,L 17-51,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austin Collie, NEWR",Jax,W 51-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Gibson*, NEWRIR",Jax,W 51-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon LaFell*, NEWRO",Jax,W 51-17,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hakeem Nicks, TenWR",Ind,L 33-35,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Ogletree, NYGWR",Wsh,W 32-21,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
