,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
148,Rishard Matthews,WR,4200,Mia@Ten 01:00PM ET,17.2,Mia,13,15.4,8.26,14.7,9.26,11.47,7.253,11.33471429
149,Isaiah Crowell,RB,4200,Den@Cle 01:00PM ET,10.86,Cle,6.5,12.3,10.05,12.5,7.04,7.44,11.805,9.662142857
150,Doug Baldwin,WR,4100,Car@Sea 04:05PM ET,12.36,Sea,9,8.5,11.22,8.3,10.19,10.45,7.825,9.355
151,DeAngelo Williams,RB,4000,Ari@Pit 01:00PM ET,10.22,Pit,1.5,3.1,2.4,3.8,2.52,2.5,4.363,2.883285714
152,Percy Harvin,WR,4000,Cin@Buf 01:00PM ET,9.98,Buf,8,10.8,8.29,9.8,9.72,10.43,8.1764,9.316628571
153,Julius Thomas,TE,4000,Hou@Jax 01:00PM ET,4,Jax,8,15.8,12.34,15.9,10.32,7.51,7.459,11.047
154,Marquess Wilson,WR,4000,Chi@Det 01:00PM ET,8.88,Chi,5,4.2,7.72,4.1,4.48,8.8,9.697,6.285285714
155,Ameer Abdullah,RB,4000,Chi@Det 01:00PM ET,8.66,Det,7.5,5,12.43,4.9,10.2,9.33,12.9544,8.902057143
156,Martavis Bryant,WR,4000,Ari@Pit 01:00PM ET,0,Pit,6,8.2,7.13,7.2,8.95,7.07,9.959,7.787
157,Charcandrick West,RB,4000,KC@Min 01:00PM ET,1.54,KC,10,5.6,10.3,5.7,12.2,10.31,12.234,9.477714286
158,Jonathan Stewart,RB,3900,Car@Sea 04:05PM ET,7.3,Car,7,,8.68,,9.48,10.72,9.522,9.0804
159,Lorenzo Taliaferro,RB,3900,Bal@SF 04:25PM ET,6.2,Bal,,,,,,,,0
160,Seahawks ,DST,3800,Car@Sea 04:05PM ET,12.8,Sea,,,,,,,,0
161,Darren Sproles,RB,3800,NYG@Phi 08:30PM ET,10.3,Phi,6,11.4,9.98,12.3,8.44,7.98,10.943,9.577571429
162,Stevie Johnson,WR,3800,SD@GB 04:25PM ET,12.625,SD,2,5.8,9.38,5.9,,,8.1374,6.24348
163,Alfred Blue,RB,3800,Hou@Jax 01:00PM ET,7.36,Hou,4,3.5,7.85,4,,,5.371,4.9442
164,Bishop Sankey,RB,3800,Mia@Ten 01:00PM ET,10.05,Ten,6,5.5,9.11,5.7,7.07,9.28,10.704,7.623428571
165,Broncos ,DST,3700,Den@Cle 01:00PM ET,17.2,Den,,,,,,,,0
166,Cardinals ,DST,3600,Ari@Pit 01:00PM ET,13.2,Ari,,,,,,,,0
167,Delanie Walker,TE,3600,Mia@Ten 01:00PM ET,11.567,Ten,16,18.6,7.79,17.3,9.77,9.67,7.485,12.37357143
168,Eddie Royal,WR,3600,Chi@Det 01:00PM ET,9,Chi,8,13.4,8.2,12.7,9.87,14.28,7.887,10.61957143
169,Alfred Morris,RB,3600,Was@NYJ 01:00PM ET,7.24,Was,12,5.1,7.5,5.6,8.09,2.57,10.269,7.304142857
170,Daniel Herron,RB,3600,Cin@Buf 01:00PM ET,2.8,Buf,4,3.1,6.61,3.4,4.85,7.67,4.15,4.825714286
171,Jermaine Kearse,WR,3600,Car@Sea 04:05PM ET,10.28,Sea,7.5,10,7.73,9.1,9.24,8.13,7.327,8.432428571
172,Jamison Crowder,WR,3600,Was@NYJ 01:00PM ET,9.12,Was,7,10.5,7.52,10.4,10.47,10.83,8.1984,9.274057143
173,Nelson Agholor,WR,3600,NYG@Phi 08:30PM ET,3.5,Phi,2,5,6.15,4.5,,6.49,7.155,5.215833333
174,Matt Jones,RB,3600,Was@NYJ 01:00PM ET,9.8,Was,7,11,6.74,13.1,5.67,6.53,9.513,8.507571429
175,Reggie Bush,RB,3500,Bal@SF 04:25PM ET,0.767,SF,3,4.3,,6.9,,3.88,3.516,4.3192
176,Darrius Heyward-Bey,WR,3500,Ari@Pit 01:00PM ET,9.98,Pit,2,9.4,5.1,8.7,2.57,2.69,,5.076666667
177,Bilal Powell,RB,3500,Was@NYJ 01:00PM ET,8.975,NYJ,5.5,6.6,10.96,6.8,7.69,4.42,6.6728,6.948971429
178,Ryan Mathews,RB,3500,NYG@Phi 08:30PM ET,10.84,Phi,4.5,9.3,12.12,8.7,4.65,4.38,8.554,7.457714286
179,Marvin Jones,WR,3500,Cin@Buf 01:00PM ET,10.1,Cin,10.5,8.2,8.69,7.1,9.4,9.6,9.219,8.958428571
180,Kyle Juszczyk,RB,3500,Bal@SF 04:25PM ET,4.86,Bal,,,3.45,,3.54,3.83,1.183,3.00075
181,Ty Montgomery,WR,3500,SD@GB 04:25PM ET,7.7,GB,5,11.6,9.38,10.8,9.52,10.98,4.81,8.87
182,Stefon Diggs,WR,3500,KC@Min 01:00PM ET,14.7,Min,7.5,7,3.6,6.5,1.22,6.98,,5.466666667
183,Ravens ,DST,3400,Bal@SF 04:25PM ET,6.8,Bal,,,,,,,,0
184,Ted Ginn Jr.,WR,3400,Car@Sea 04:05PM ET,12.65,Car,9.5,8.8,10.56,7.4,9.21,7.29,12.033,9.256142857
185,Malcom Floyd,WR,3400,SD@GB 04:25PM ET,7.7,SD,8,8.6,6.16,7.3,8.54,11.86,7.183,8.234714286
186,Danny Amendola,WR,3400,NE@Ind 08:30PM ET,6.525,NE,7,7.6,10.33,7.8,7.87,10.97,3.808,7.911142857
187,Joique Bell,RB,3400,Chi@Det 01:00PM ET,5.767,Det,3.5,5.2,6.01,6.2,7.15,8.47,5.4344,5.994914286
188,Antonio Andrews,RB,3400,Mia@Ten 01:00PM ET,13.75,Ten,13,12.6,7.53,13.2,8.06,3,6.1764,9.080914286
189,James Starks,RB,3300,SD@GB 04:25PM ET,6.68,GB,4.5,2.4,8.07,2.9,7.07,9.57,7.7802,6.041457143
190,Boobie Dixon,RB,3300,Cin@Buf 01:00PM ET,3.38,Buf,,,,,3.93,6.28,,5.105
191,Charles Johnson,WR,3300,KC@Min 01:00PM ET,3.533,Min,6.5,6.9,6.13,6.5,8.48,0.53,5.448,5.784
192,Dontrelle Inman,WR,3300,SD@GB 04:25PM ET,2.95,SD,,1.6,,1.8,5.91,1.68,3.676,2.9332
193,Markus Wheaton,WR,3300,Ari@Pit 01:00PM ET,7.96,Pit,7,3.7,4.84,2.9,4.77,9.72,7.795,5.817857143
194,Theo Riddick,RB,3300,Chi@Det 01:00PM ET,12.96,Det,7.5,5.5,6.08,5.8,9.65,6.34,5.006,6.553714286
195,Chris Thompson,RB,3300,Was@NYJ 01:00PM ET,9.24,Was,7.5,3,7,3.9,8.21,7.38,3.591,5.797285714
196,Chris Hogan,WR,3300,Cin@Buf 01:00PM ET,7.792,Buf,5,2.8,5.1,2.4,2.7,3,1.065,3.152142857
197,Terrance West,RB,3300,Mia@Ten 01:00PM ET,1.55,Ten,,1.1,,1,,0.13,1.311,0.88525
198,Eric Ebron,TE,3300,Chi@Det 01:00PM ET,11.225,Det,4.5,15.6,,15.8,,,8.879,11.19475
199,Bills ,DST,3200,Cin@Buf 01:00PM ET,7.4,Buf,,,,,,,,0
200,Packers ,DST,3200,SD@GB 04:25PM ET,11.4,GB,,,,,,,,0
