player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Marcus Mariota, TenQBQ",Mia,L 10-38,21/33,219,1,2,0,0,0,0,0,0,0,0,2,0,4
"Duke Johnson Jr., CleRB",Den,L 23-26,0/0,0,0,0,9,38,0,3,18,0,4,0,0,0,4
Panthers D/STD/ST,@Sea,W 27-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adam Vinatieri, IndK",NE,L 27-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Matt Bryant, AtlK",@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Andre Johnson, IndWRP",NE,L 27-34,0/0,0,0,0,0,0,0,3,35,0,6,0,0,0,3
"Scott Chandler, NETE",@Ind,W 34-27,0/0,0,0,0,0,0,0,2,39,0,3,0,0,0,3
"Jacob Tamme, AtlTE",@NO,L 21-31,0/0,0,0,0,0,0,0,3,32,0,5,0,0,0,3
"Dan Carpenter, BufK",Cin,L 21-34,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Graham Gano, CarK",@Sea,W 27-23,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"A.J. Green, CinWR",@Buf,W 34-21,0/0,0,0,0,0,0,0,4,36,0,7,0,0,0,3
"Leonard Hankerson, AtlWRQ",@NO,L 21-31,0/0,0,0,0,0,0,0,4,37,0,6,0,0,0,3
"Randall Cobb, GBWRP",SD,W 27-20,0/0,0,0,0,0,0,0,2,38,0,5,0,0,0,3
"Dion Lewis, NERBQ",@Ind,W 34-27,0/0,0,0,0,4,21,0,3,18,0,6,0,0,0,3
"Chris Hogan, BufWR",Cin,L 21-34,0/0,0,0,0,0,0,0,2,31,0,5,0,0,0,3
