player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Falcons D/STD/ST,@NO,L 21-31,0/0,0,0,0,0,0,0,0,0,0,5.9
"Malcom Floyd, SDWR",@GB,Sun 4:25,0/0,0,0,0,0,0,0,2.4,43.4,0.3,5.9
"Martavis Bryant, PitWR",Ari,Sun 1:00,0/0,0,0,0,0.1,0.8,0,2.8,42.7,0.3,5.9
"Jamison Crowder, WshWR",@NYJ,Sun 1:00,0/0,0,0,0,0.3,1.8,0,4.6,50.9,0.1,5.8

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Kyle Rudolph, MinTE",KC,Sun 1:00,0/0,0,0,0,0,0,0,3.9,40.6,0.3,5.8
"Delanie Walker, TenTE",Mia,Sun 1:00,0/0,0,0,0,0,0,0,3.7,42.7,0.3,5.8
"Rashad Jennings, NYGRB",@Phi,Mon 8:30,0/0,0,0,0,10.5,36.4,0.2,2.1,16.5,0.1,5.7
"Brandon Coleman, NOWR",Atl,W 31-21,0/0,0,0,0,0,0,0,2.7,40.2,0.3,5.7
"Larry Donnell, NYGTE",@Phi,Mon 8:30,0/0,0,0,0,0,0,0,3.9,44.9,0.3,5.7
"Rishard Matthews, MiaWR",@Ten,Sun 1:00,0/0,0,0,0,0,0,0,3.4,40.6,0.3,5.7
"Sammy Watkins, BufWRQ",Cin,Sun 1:00,0/0,0,0,0,0.3,1.7,0,3.4,46.9,0.3,5.6
"Chris Boswell, PitK",Ari,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,5.6
"Marvin Jones, CinWRP",@Buf,Sun 1:00,0/0,0,0,0,0.4,2.6,0,3.4,45.4,0.2,5.5
"Eddie Royal, ChiWRQ",@Det,Sun 1:00,0/0,0,0,0,0,0,0,3.7,43.7,0.3,5.5
"Jermaine Kearse, SeaWR",Car,Sun 4:05,0/0,0,0,0,0,0,0,3,44.4,0.3,5.5
"Marlon Brown, BalWR",@SF,Sun 4:25,0/0,0,0,0,0,0,0,3.2,41.6,0.2,5.5
"Shane Vereen, NYGRB",@Phi,Mon 8:30,0/0,0,0,0,4.9,17.8,0.1,3.3,33.2,0.1,5.5
"Joique Bell, DetRBQ",Chi,Sun 1:00,0/0,0,0,0,8.5,32.9,0.4,0.8,6.6,0,5.4
"Charles Clay, BufTEP",Cin,Sun 1:00,0/0,0,0,0,0,0,0,4,44.3,0.2,5.4
"Charles Johnson, MinWRQ",KC,Sun 1:00,0/0,0,0,0,0,0,0,3,42.8,0.2,5.4
"Gary Barnidge, CleTE",Den,Sun 1:00,0/0,0,0,0,0,0,0,3.5,43.9,0.2,5.4
"Percy Harvin, BufWRQ",Cin,Sun 1:00,0/0,0,0,0,1.1,6.8,0,3.7,41.4,0.2,5.4
"Cecil Shorts III, HouWRP",@Jax,Sun 1:00,0/0,0,0,0,0,0,0,3.4,43,0.2,5.4
"Ted Ginn Jr., CarWR",@Sea,Sun 4:05,0/0,0,0,0,0,0,0,3.3,47.1,0.2,5.3
"C.J. Spiller, NORB",Atl,W 31-21,0/0,0,0,0,3,13.7,0.1,4.1,38.5,0.1,5.3
"James Starks, GBRB",SD,Sun 4:25,0/0,0,0,0,6.8,33.6,0.1,1.4,11.1,0.1,5.3
Giants D/STD/ST,@Phi,Mon 8:30,0/0,0,0,0,0,0,0,0,0,0,5.3
49ers D/STD/ST,Bal,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,5.1
"Torrey Smith, SFWR",Bal,Sun 4:25,0/0,0,0,0,0,0,0,2.9,47.8,0.2,5.1
"Jordan Cameron, MiaTE",@Ten,Sun 1:00,0/0,0,0,0,0,0,0,3.3,39.6,0.3,5
"Isaiah Crowell, CleRBQ",Den,Sun 1:00,0/0,0,0,0,10.7,42.4,0.2,0.9,7,0,5
"Owen Daniels, DenTEP",@Cle,Sun 1:00,0/0,0,0,0,0,0,0,2.8,31.2,0.3,4.9
"Tevin Coleman, AtlRB",@NO,L 21-31,0/0,0,0,0,7.6,35.5,0.3,0.8,6.2,0,4.9
"Coby Fleener, IndTE",NE,Sun 8:30,0/0,0,0,0,0,0,0,2.5,30.4,0.3,4.9
"Benjamin Watson, NOTE",Atl,W 31-21,0/0,0,0,0,0,0,0,3.2,37.2,0.3,4.8
Browns D/STD/ST,Den,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.8
"Ryan Grant, WshWR",@NYJ,Sun 1:00,0/0,0,0,0,0,0,0,3.2,40.9,0.1,4.8
"Crockett Gillmore, BalTEQ",@SF,Sun 4:25,0/0,0,0,0,0,0,0,3.3,35.4,0.3,4.8
"Khiry Robinson, NORB",Atl,W 31-21,0/0,0,0,0,5.2,22.7,0.2,1.8,13.1,0.1,4.7
"Andre Ellington, AriRB",@Pit,Sun 1:00,0/0,0,0,0,5.5,19.6,0.2,2.5,22.3,0.1,4.6
"Bishop Sankey, TenRB",Mia,Sun 1:00,0/0,0,0,0,8.9,37.8,0.2,1.2,8.9,0,4.6
"Chris Thompson, WshRBP",@NYJ,Sun 1:00,0/0,0,0,0,3.1,11.7,0,3.3,31.4,0.1,4.5
"Justin Hunter, TenWR",Mia,Sun 1:00,0/0,0,0,0,0,0,0,2.4,35.6,0.3,4.5
Jaguars D/STD/ST,Hou,Sun 1:00,0/0,0,0,0,0,0,0,0,0,0,4.5

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Darren Sproles, PhiRB",NYG,Mon 8:30,0/0,0,0,0,4.5,19.1,0.1,2.9,24.3,0.1,4.5
"Dexter McCluster, TenWR, RB",Mia,Sun 1:00,0/0,0,0,0,6.5,27.5,0.1,1.4,12.9,0.1,4.5
"Danny Amendola, NEWR",@Ind,Sun 8:30,0/0,0,0,0,0.2,1.6,0,3.2,33.1,0.2,4.4
"Riley Cooper, PhiWR",NYG,Mon 8:30,0/0,0,0,0,0,0,0,2.2,31.1,0.2,4.4
"Ladarius Green, SDTE",@GB,Sun 4:25,0/0,0,0,0,0,0,0,2.7,33.2,0.2,4.4
"Vernon Davis, SFTEQ",Bal,Sun 4:25,0/0,0,0,0,0,0,0,3.1,39.8,0.2,4.4
"Theo Riddick, DetRBQ",Chi,Sun 1:00,0/0,0,0,0,0.7,2.8,0,4.4,37.7,0.2,4.4
"Mohamed Sanu, CinWR",@Buf,Sun 1:00,0/0,0,0,0,0.3,1.7,0,2.7,31.5,0.2,4.3
"Roddy White, AtlWR",@NO,L 21-31,0/0,0,0,0,0,0,0,2.5,30.9,0.2,4.3
"Jacob Tamme, AtlTE",@NO,L 21-31,0/0,0,0,0,0,0,0,2.9,32.4,0.2,4.3
"Lance Moore, DetWR",Chi,Sun 1:00,0/0,0,0,0,0,0,0,2.6,32.5,0.2,4.2
"Tyler Lockett, SeaWR",Car,Sun 4:05,0/0,0,0,0,0.1,0.9,0,2.8,39.1,0.2,4.2
"Devin Smith, NYJWR",Wsh,Sun 1:00,0/0,0,0,0,0,0,0,2.7,36.7,0.2,4.2
"Matt Jones, WshRBQ",@NYJ,Sun 1:00,0/0,0,0,0,8,30.1,0.2,0.8,6.6,0,4.2
"Dwayne Harris, NYGWR",@Phi,Mon 8:30,0/0,0,0,0,0.1,0.8,0,3.3,38.8,0.2,4.2
"Keshawn Martin, NEWR",@Ind,Sun 8:30,0/0,0,0,0,0,0,0,2.5,32.4,0.2,4.1
"Kenny Stills, MiaWR",@Ten,Sun 1:00,0/0,0,0,0,0,0,0,2.2,30.1,0.2,4
"Bilal Powell, NYJRBQ",Wsh,Sun 1:00,0/0,0,0,0,4.7,17.8,0.1,2.6,21.1,0.1,4
"Jarius Wright, MinWRP",KC,Sun 1:00,0/0,0,0,0,0.3,1.7,0,2.3,30.5,0.1,3.9
