Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Darrius Heyward-Bey,WR,3000,Oak@Pit 01:00PM ET,6.238,Pit,,9.4,6.86,8.7,3.34,2.7,,6.2,9.4,2.7,6.7,1.08064516129
John Kuhn,RB,3000,GB@Car 01:00PM ET,1.743,GB,,0.5,2.83,0.4,1.04,1.07,1.439,1.21316666667,2.83,0.4,2.43,2.00302239319
Seyi Ajirotutu,WR,3000,Phi@Dal 08:30PM ET,0.0,Phi,,,,,,,,,,,,
Marlon Moore,WR,3000,Cle@Cin 08:25PM ET,0.357,Cle,,,,,2.78,0.02,,1.4,2.78,0.02,2.76,1.97142857143
Brandon Tate,WR,3000,Cle@Cin 08:25PM ET,1.786,Cin,,,,,,0.74,3.0008,1.8704,3.0008,0.74,2.2608,1.20872540633
Darrel Young,RB,3000,Was@NE 01:00PM ET,0.443,Was,,,2.17,,,,,2.17,2.17,2.17,0.0,0.0
Antone Smith,RB,3000,Chi@SD 08:30PM ET,0.0,Chi,,,4.04,,6.79,,2.254,4.36133333333,6.79,2.254,4.536,1.0400489147
Brian Hartline,WR,3000,Cle@Cin 08:25PM ET,5.775,Cle,6.0,,,,,,,6.0,6.0,6.0,0.0,0.0
Donald Brown,RB,3000,Chi@SD 08:30PM ET,0.0,SD,,,6.01,,1.72,0.05,,2.59333333333,6.01,0.05,5.96,2.29820051414
Jorvorskie Lane,RB,3000,NYG@TB 04:05PM ET,0.0,TB,,,,,,0.04,,0.04,0.04,0.04,0.0,0.0
Jordan Norwood,WR,3000,Den@Ind 04:25PM ET,3.167,Den,,4.0,4.03,4.0,4.41,9.87,,5.262,9.87,4.0,5.87,1.11554541999
Marcel Reece,RB,3000,Oak@Pit 01:00PM ET,8.429,Oak,4.0,1.6,7.01,2.0,6.05,6.67,1.799,4.16128571429,7.01,1.6,5.41,1.30007895911
Bruce Miller,RB,3000,Atl@SF 04:05PM ET,2.238,SF,,,3.61,,1.72,1.36,1.203,1.97325,3.61,1.203,2.407,1.21981502597
Marc Mariani,WR,3000,Chi@SD 08:30PM ET,0.414,Chi,,,,,4.93,2.42,,3.675,4.93,2.42,2.51,0.682993197279
Bryan Walters,WR,3000,Jax@NYJ 01:00PM ET,6.967,Jax,4.5,4.4,5.29,4.2,8.51,8.05,1.358,5.18685714286,8.51,1.358,7.152,1.3788696706
Andre Roberts,WR,3000,Was@NE 01:00PM ET,3.317,Was,,5.9,,5.0,,0.29,,3.73,5.9,0.29,5.61,1.50402144772
Jacoby Jones,WR,3000,Chi@SD 08:30PM ET,0.0,SD,,,,,1.18,1.25,1.09,1.17333333333,1.25,1.09,0.16,0.136363636364
Riley Cooper,WR,3000,Phi@Dal 08:30PM ET,6.214,Phi,4.0,3.2,5.43,2.6,5.19,12.44,3.012,5.12457142857,12.44,2.6,9.84,1.92016057092
Boobie Dixon,RB,3000,Mia@Buf 01:00PM ET,2.414,Buf,,,,,,,,,,,,
Chase Reynolds,RB,3000,StL@Min 01:00PM ET,0.0,StL,,,,,,,,,,,,
Fozzy Whittaker,RB,3000,GB@Car 01:00PM ET,1.686,Car,,5.9,3.24,6.5,1.88,0.32,1.051,3.1485,6.5,0.32,6.18,1.96283944736
Matt Asiata,RB,3000,StL@Min 01:00PM ET,2.986,Min,,3.2,3.13,3.5,2.88,2.42,1.3032,2.73886666667,3.5,1.3032,2.1968,0.802083586885
Charles Johnson,WR,3000,StL@Min 01:00PM ET,3.64,Min,5.0,7.1,5.06,6.6,2.5,0.67,2.813,4.249,7.1,0.67,6.43,1.51329724641
Brian Quick,WR,3000,StL@Min 01:00PM ET,0.875,StL,,6.4,4.54,6.2,3.28,2.69,3.899,4.5015,6.4,2.69,3.71,0.824169721204
Daniel Herron,RB,3000,Mia@Buf 01:00PM ET,2.9,Buf,,3.1,,3.4,,0.03,1.777,2.07675,3.4,0.03,3.37,1.62272781991
Denarius Moore,WR,3000,Mia@Buf 01:00PM ET,-0.333,Buf,,,3.13,,,,,3.13,3.13,3.13,0.0,0.0
Dontrelle Inman,WR,3000,Chi@SD 08:30PM ET,4.171,SD,9.0,3.4,7.07,3.7,9.84,8.28,6.455,6.82071428571,9.84,3.4,6.44,0.944182636925
