player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Dexter McCluster, TenWR, RB",Atl,L 7-10,0/0,0,0,0,5,20,0,6,48,0,8,0,0,0,6
"Jermaine Gresham, AriTE",Bal,W 26-18,0/0,0,0,0,0,0,0,4,62,0,6,0,0,0,6
"DeMarco Murray, PhiRB",@Car,L 16-27,0/0,0,0,0,18,65,0,2,5,0,4,0,0,0,6
"Nick Foles, StLQB",Cle,W 24-6,15/23,163,0,0,2,-2,0,0,0,0,0,0,0,0,6
"Rueben Randle, NYGWR",Dal,W 27-20,0/0,0,0,0,0,0,0,2,68,0,5,0,0,0,6
"Jermaine Kearse, SeaWR",@SF,W 20-3,0/0,0,0,0,0,0,0,3,64,0,4,0,0,0,6
"Tavon Austin, StLWR",Cle,W 24-6,0/0,0,0,0,1,21,0,4,43,0,7,0,0,0,6
"Zach Ertz, PhiTE",@Car,L 16-27,0/0,0,0,0,0,0,0,5,63,0,8,0,0,0,6
"Landry Jones, PitQB",@KC,L 13-23,16/29,209,1,2,1,-2,0,0,0,0,0,0,1,0,6
"Branden Oliver, SDRB",Oak,L 29-37,0/0,0,0,0,9,35,0,6,39,0,7,0,0,0,6
"Donteea Dye, TBWR",@Wsh,L 30-31,0/0,0,0,0,0,0,0,1,7,1,1,0,0,0,6
Titans D/STD/ST,Atl,L 7-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Eagles D/STD/ST,@Car,L 16-27,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Benjamin Watson, NOTE",@Ind,W 27-21,0/0,0,0,0,0,0,0,4,59,0,5,0,0,0,5
"Delanie Walker, TenTE",Atl,L 7-10,0/0,0,0,0,0,0,0,7,55,0,9,0,0,0,5
"Miles Austin, PhiWR",@Car,L 16-27,0/0,0,0,0,0,0,0,4,52,0,6,0,0,0,5
"Pierre Garcon, WshWR",TB,W 31-30,0/0,0,0,0,0,0,0,5,55,0,6,0,0,0,5
"Stevie Johnson, SDWR",Oak,L 29-37,0/0,0,0,0,0,0,0,4,50,0,8,0,0,0,5
"Julian Edelman, NEWR",NYJ,W 30-23,0/0,0,0,0,0,0,0,5,54,0,9,0,0,0,5

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Shane Vereen, NYGRB",Dal,W 27-20,0/0,0,0,0,4,56,0,1,6,0,3,0,0,0,5
"Chris Hogan, BufWR",@Jax,L 31-34,0/0,0,0,0,0,0,0,6,56,0,11,0,0,0,5
"Jonas Gray, MiaRB",Hou,W 44-26,0/0,0,0,0,12,48,0,1,10,0,1,0,0,0,5
"Justin Tucker, BalK",@Ari,L 18-26,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"DeAndre Hopkins, HouWR",@Mia,L 26-44,0/0,0,0,0,0,0,0,6,50,0,12,0,0,0,5
"Crockett Gillmore, BalTE",@Ari,L 18-26,0/0,0,0,0,0,0,0,5,53,0,7,0,0,0,5
"Antonio Andrews, TenRB",Atl,L 7-10,0/0,0,0,0,10,57,0,0,0,0,0,0,0,0,5
"Andre Johnson, IndWR",NO,L 21-27,0/0,0,0,0,0,0,0,4,44,0,4,0,0,0,4
"Roddy White, AtlWR",@Ten,W 10-7,0/0,0,0,0,0,0,0,3,48,0,4,0,0,0,4
"Kenny Britt, StLWR",Cle,W 24-6,0/0,0,0,0,0,0,0,1,41,0,2,0,0,0,4
"C.J. Spiller, NORB",@Ind,W 27-21,0/0,0,0,0,4,16,0,6,32,0,6,0,0,0,4
"Andre Roberts, WshWR",TB,W 31-30,0/0,0,0,0,0,0,0,3,49,0,6,0,0,0,4
"Colin Kaepernick, SFQB",Sea,L 3-20,13/24,124,0,0,0,0,0,0,0,0,0,0,0,0,4
"Taiwan Jones, OakRB, CB",@SD,W 37-29,0/0,0,0,0,3,35,0,2,17,0,3,0,0,0,4
"Coby Fleener, IndTE",NO,L 21-27,0/0,0,0,0,0,0,0,3,47,0,5,0,0,0,4
"Greg Zuerlein, StLK",Cle,W 24-6,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Andre Ellington, AriRB",Bal,W 26-18,0/0,0,0,0,5,21,0,3,28,0,4,0,0,0,4
"Brice Butler, DalWR",@NYG,L 20-27,0/0,0,0,0,0,0,0,2,41,0,5,0,0,0,4
"Theo Riddick, DetRB",Min,L 19-28,0/0,0,0,0,3,8,0,3,40,0,4,0,0,0,4
