player,pos,team,bye,opp,rush_att,rush_yards,rush_tds,rec,tar,rec_yards,rec_tds,fl,misc_yard,misc_td,punt_td,kick_td,fan_pts,own,2-pt,pass_yards,pass_tds,int


Theo Riddick,RB,DET,9,@GBSun 1:00,5,22,0,2,2,16,0,0,38,0,0,0,3.8,28%
Christine Michael,RB,DAL,6,@TBSun 1:00,9,35,0,1,1,3,0,0,38,0,0,0,3.8,26%
Thomas Rawls,RB,SEA,9,ARISun 8:30,8,37,0,0,0,1,0,0,38,0,0,0,3.8,24%
Danny Amendola,WR,NE,4,@NYGSun 4:25,0,0,0,4,4,38,0,0,38,0,0,0,3.8,27%
Chris Givens,WR,BAL,9,JACSun 1:00,0,0,0,3,3,38,0,0,38,0,0,0,3.8,5%
Robert Woods,WR,BUF,8,@NYJ,0,0,0,4,4,38,0,0,38,0,0,0,3.8,18%
Jaelen Strong,WR,HOU,9,@CINMon 8:30,0,0,0,3,3,38,0,0,38,0,0,0,3.8,9%
Michael Floyd,WR,ARI,9,@SEASun 8:30,0,0,0,4,4,37,0,0,37,0,0,0,3.7,68%
Terrance Williams,WR,DAL,6,@TBSun 1:00,0,0,0,3,3,37,0,0,37,0,0,0,3.7,52%
Ty Montgomery,WR,GB,7,DETSun 1:00,0,0,0,3,3,37,0,0,37,0,0,0,3.7,11%
Charles Johnson,WR,MIN,5,@OAKSun 4:05,0,1,0,3,3,35,0,0,36,0,0,0,3.6,34%
Marlon Brown,WR,BAL,9,JACSun 1:00,0,0,0,3,3,36,0,0,36,0,0,0,3.6,2%
Scott Chandler,TE,NE,4,@NYGSun 4:25,0,0,0,3,3,36,0,0,36,0,0,0,3.6,6%
Greg Jennings,WR,MIA,5,@PHISun 1:00,0,0,0,4,4,35,0,0,35,0,0,0,3.5,7%
 Previous45678910Next 


Cordarrelle Patterson,WR,MIN,5,@OAKSun 4:05,2,11,0,2,2,24,0,0,35,0,0,0,3.5,25%
Stevan Ridley,RB,NYJ,5,BUF,8,30,0,1,1,4,0,0,34,0,0,0,3.4,11%
Tre Mason,RB,STL,6,CHISun 1:00,6,27,0,1,1,7,0,0,34,0,0,0,3.4,41%
Corey Brown,WR,CAR,5,@TENSun 1:00,1,4,0,3,3,30,0,0,34,0,0,0,3.4,7%
Bobby Rainey,RB,TB,6,DALSun 1:00,4,17,0,2,2,16,0,0,33,0,0,0,3.3,5%
Clay Harbor,TE,JAC,8,@BALSun 1:00,0,0,0,4,4,33,0,0,33,0,0,0,3.3,1%
Josh Huff,WR,PHI,8,MIASun 1:00,0,0,0,3,3,32,0,0,32,0,0,0,3.2,4%
Marcedes Lewis,TE,JAC,8,@BALSun 1:00,0,0,0,3,3,32,0,0,32,0,0,0,3.2,2%
Vernon Davis,TE,DEN,7,KCSun 4:25,0,0,0,3,3,32,0,0,32,0,0,0,3.2,50%
Maxx Williams,TE,BAL,9,JACSun 1:00,0,0,0,3,3,32,0,0,32,0,0,0,3.2,10%
Rashad Jennings,RB,NYG,11,NESun 4:25,6,22,0,1,1,7,0,0,29,0,0,0,2.9,80%
Mychal Rivera,TE,OAK,6,MINSun 4:05,0,0,0,3,3,29,0,0,29,0,0,0,2.9,7%
Andre Williams,RB,NYG,11,NESun 4:25,5,24,0,1,1,4,0,0,28,0,0,0,2.8,38%
Mike Tolbert,RB,CAR,5,@TENSun 1:00,4,13,0,2,2,15,0,0,28,0,0,0,2.8,5%
Andre Caldwell,WR,DEN,7,KCSun 4:25,0,0,0,2,2,28,0,0,28,0,0,0,2.8,0%
Brian Hartline,WR,CLE,11,@PITSun 1:00,0,0,0,3,3,28,0,0,28,0,0,0,2.8,7%
Justin Hunter,WR,TEN,4,CARSun 1:00,0,0,0,2,2,28,0,0,28,0,0,0,2.8,6%
Dorial Green-Beckham,WR,TEN,4,CARSun 1:00,0,0,0,2,2,28,0,0,28,0,0,0,2.8,41%
Virgil Green,TE,DEN,7,KCSun 4:25,0,0,0,3,3,28,0,0,28,0,0,0,2.8,3%
Toby Gerhart,RB,JAC,8,@BALSun 1:00,5,19,0,1,1,8,0,0,27,0,0,0,2.7,4%
 Previous567891011Next 


Knile Davis,RB,KC,9,@DENSun 4:25,6,19,0,1,1,8,0,0,27,0,0,0,2.7,35%
Devin Funchess,WR,CAR,5,@TENSun 1:00,0,0,0,2,2,27,0,0,27,0,0,0,2.7,17%
Garrett Graham,TE,HOU,9,@CINMon 8:30,0,0,0,3,3,27,0,0,27,0,0,0,2.7,4%
Matt Asiata,RB,MIN,5,@OAKSun 4:05,5,19,0,1,1,7,0,0,26,0,0,0,2.6,8%
Jason Avant,WR,KC,9,@DENSun 4:25,0,0,0,3,3,26,0,0,26,0,0,0,2.6,1%
Jermaine Kearse,WR,SEA,9,ARISun 8:30,0,1,0,2,2,25,0,0,26,0,0,0,2.6,9%
Aaron Dobson,WR,NE,4,@NYGSun 4:25,0,0,0,2,2,25,0,0,25,0,0,0,2.5,4%
Brent Celek,TE,PHI,8,MIASun 1:00,0,0,0,3,3,25,0,0,25,0,0,0,2.5,6%
Gavin Escobar,TE,DAL,6,@TBSun 1:00,0,0,0,2,2,25,0,0,25,0,0,0,2.5,3%
Nate Washington,WR,HOU,9,@CINMon 8:30,0,0,0,2,2,24,0,0,24,0,0,0,2.4,39%
Nelson Agholor,WR,PHI,8,MIASun 1:00,0,0,0,2,2,24,0,0,24,0,0,0,2.4,34%
Dan Herron,RB,BUF,8,@NYJ,4,16,0,1,1,7,0,0,23,0,0,0,2.3,19%
Benny Cunningham,RB,STL,6,CHISun 1:00,3,13,0,3,3,20,0,1,33,0,0,0,2.3,8%
Jerick McKinnon,RB,MIN,5,@OAKSun 4:05,3,15,0,1,1,8,0,0,23,0,0,0,2.3,28%
Jerricho Cotchery,WR,CAR,5,@TENSun 1:00,0,0,0,2,2,23,0,0,23,0,0,0,2.3,4%
Andre Roberts,WR,WAS,8,NOSun 1:00,0,1,0,2,2,22,0,0,23,0,0,0,2.3,2%
Cole Beasley,WR,DAL,6,@TBSun 1:00,0,0,0,2,2,23,0,0,23,0,0,0,2.3,15%
Brandon Bolden,RB,NE,4,@NYGSun 4:25,4,17,0,1,1,5,0,0,22,0,0,0,2.2,32%
Bryan Walters,WR,JAC,8,@BALSun 1:00,0,0,0,2,2,22,0,0,22,0,0,0,2.2,2%
Anthony Fasano,TE,TEN,4,CARSun 1:00,0,0,0,2,2,22,0,0,22,0,0,0,2.2,4%
 Previous6789101112Next 


Marquess Wilson,WR,CHI,7,@STLSun 1:00,0,0,0,2,2,21,0,0,21,0,0,0,2.1,9%
Lance Kendricks,TE,STL,6,CHISun 1:00,0,0,0,2,2,21,0,0,21,0,0,0,2.1,2%
Chris Thompson,RB,WAS,8,NOSun 1:00,2,9,0,2,2,11,0,0,20,0,0,0,2,10%
Javorius Allen,RB,BAL,9,JACSun 1:00,5,20,0,2,2,10,0,1,30,0,0,0,2,10%
Ed Dickson,TE,CAR,5,@TENSun 1:00,0,0,0,2,2,20,0,0,20,0,0,0,2,1%
Jeff Cumberland,TE,NYJ,5,BUF,0,0,0,2,2,20,0,0,20,0,0,0,2,1%
Jordan Norwood,WR,DEN,7,KCSun 4:25,0,0,0,2,2,19,0,0,19,0,0,0,1.9,0%
Markus Wheaton,WR,PIT,11,CLESun 1:00,0,1,0,1,1,18,0,0,19,0,0,0,1.9,33%
Kevin White,WR,CHI,7,@STLSun 1:00,0,0,0,2,2,19,0,0,19,0,0,0,1.9,20%
Jared Cook,TE,STL,6,CHISun 1:00,0,0,0,2,2,19,0,0,19,0,0,0,1.9,14%
Jermaine Gresham,TE,ARI,9,@SEASun 8:30,0,0,0,2,2,19,0,0,19,0,0,0,1.9,5%
Tyler Lockett,WR,SEA,9,ARISun 8:30,0,1,0,2,2,17,0,0,18,0,0,0,1.8,19%
Jay Ajayi,RB,MIA,5,@PHISun 1:00,2,9,0,1,1,9,0,0,18,0,0,0,1.8,28%
Rod Streater,WR,OAK,6,MINSun 4:05,0,0,0,1,1,18,0,0,18,0,0,0,1.8,2%
Fred Jackson,RB,SEA,9,ARISun 8:30,2,8,0,1,1,9,0,0,17,0,0,0,1.7,19%
Cameron Artis-Payne,RB,CAR,5,@TENSun 1:00,3,12,0,1,1,4,0,0,16,0,0,0,1.6,8%
Riley Cooper,WR,PHI,8,MIASun 1:00,0,0,0,1,1,16,0,0,16,0,0,0,1.6,9%
Andre Holmes,WR,OAK,6,MINSun 4:05,0,0,0,1,1,16,0,0,16,0,0,0,1.6,3%
DeVante Parker,WR,MIA,5,@PHISun 1:00,0,0,0,1,1,16,0,0,16,0,0,0,1.6,15%
Devin Smith,WR,NYJ,5,BUF,0,0,0,1,1,16,0,0,16,0,0,0,1.6,5%
 Previous78910111213Next 


Keith Mumphery,WR,HOU,9,@CINMon 8:30,0,0,0,2,2,16,0,0,16,0,0,0,1.6,1%
Chris Gragg,TE,BUF,8,@NYJ,0,0,0,2,2,16,0,0,16,0,0,0,1.6,0%
Bishop Sankey,RB,TEN,4,CARSun 1:00,3,12,0,1,1,3,0,0,15,0,0,0,1.5,47%
Orleans Darkwa,RB,NYG,11,NESun 4:25,3,14,0,0,0,1,0,0,15,0,0,0,1.5,9%
Miles Austin,WR,PHI,8,MIASun 1:00,0,0,0,1,1,15,0,0,15,0,0,0,1.5,6%
Chris Hogan,WR,BUF,8,@NYJ,0,0,0,1,1,15,0,0,15,0,0,0,1.5,3%
Rhett Ellison,TE,MIN,5,@OAKSun 4:05,0,0,0,2,2,15,0,0,15,0,0,0,1.5,0%
Luke Willson,TE,SEA,9,ARISun 8:30,0,0,0,2,2,15,0,0,15,0,0,0,1.5,2%
Timothy Wright,TE,DET,9,@GBSun 1:00,0,0,0,1,1,15,0,0,15,0,0,0,1.5,2%
Jesse James,TE,PIT,11,CLESun 1:00,0,0,0,1,1,15,0,0,15,0,0,0,1.5,1%
Stepfan Taylor,RB,ARI,9,@SEASun 8:30,2,9,0,1,1,5,0,0,14,0,0,0,1.4,1%
Damien Williams,RB,MIA,5,@PHISun 1:00,2,9,0,1,1,5,0,0,14,0,0,0,1.4,17%
Dwayne Harris,WR,NYG,11,NESun 4:25,0,0,0,1,1,14,0,0,14,0,0,0,1.4,14%
Crockett Gillmore,TE,BAL,9,JACSun 1:00,0,0,0,1,1,14,0,0,14,0,0,0,1.4,19%
Chris Polk,RB,HOU,9,@CINMon 8:30,2,9,0,1,1,4,0,0,13,0,0,0,1.3,17%
Chris Matthews,WR,SEA,9,ARISun 8:30,0,0,0,2,2,13,0,0,13,0,0,0,1.3,2%
Derek Carrier,TE,WAS,8,NOSun 1:00,0,0,0,2,2,13,0,0,13,0,0,0,1.3,1%
Nick Boyle,TE,BAL,9,JACSun 1:00,0,0,0,1,1,13,0,0,13,0,0,0,1.3,0%
Brandon Myers,TE,TB,6,DALSun 1:00,0,0,0,2,2,12,0,0,12,0,0,0,1.2,2%
