,QB,QB_sal,QB_score,RB1,RB2,RB_sal,RB_score,WR1,WR2,WR3,WR_sal,WR_score,TE,TE_sal,TE_score,DST,DST_sal,DST_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
64,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Austin Seferian-Jenkins,2800,13.375,Saints ,2000,4.9,Ladarius Green,3000,12.57071429,49600,155.08945715,1
66,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Heath Miller,2700,9.344428571,Bears ,2400,6.2,Austin Seferian-Jenkins,2800,13.375,49700,153.163171431,1
67,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Stefon Diggs,18900,56.51614286,Heath Miller,2700,9.344428571,Colts ,2100,5.8,Austin Seferian-Jenkins,2800,13.375,49400,152.763171431,1
68,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Coby Fleener,2800,6.948714286,50000,154.379742856,1
70,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Heath Miller,2700,9.344428571,49900,156.775457141,1
71,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Owen Daniels,2600,8.619571429,49800,156.050599999,1
72,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Austin Seferian-Jenkins,2800,13.375,Patriots ,3000,9.1,Ladarius Green,3000,12.57071429,50000,158.20174286,1
74,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Austin Seferian-Jenkins,2800,13.375,Broncos ,2900,8.3,Eric Ebron,3100,12.08342857,50000,156.91445714,1
75,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Austin Seferian-Jenkins,2800,13.375,Broncos ,2900,8.3,Ladarius Green,3000,12.57071429,49900,157.40174286,1
78,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Austin Seferian-Jenkins,2800,13.375,Colts ,2100,5.8,Darren McFadden,3800,14.38614286,49900,156.71717143,1
79,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Heath Miller,2700,9.344428571,Rams ,3200,10.9,Austin Seferian-Jenkins,2800,13.375,49900,156.775457141,1
80,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Vincent Jackson,Mike Wallace,18300,55.42842857,Owen Daniels,2600,8.619571429,Rams ,3200,10.9,Austin Seferian-Jenkins,2800,13.375,49800,156.050599999,1
82,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Stefon Diggs,Mike Wallace,18200,54.75457143,Austin Seferian-Jenkins,2800,13.375,Rams ,3200,10.9,Heath Miller,2700,9.344428571,49800,156.101600001,1
83,Philip Rivers,6600,22.84674286,Le'Veon Bell,Devonta Freeman,16300,44.88085714,Julio Jones,Stefon Diggs,Mike Wallace,18200,54.75457143,Austin Seferian-Jenkins,2800,13.375,Patriots ,3000,9.1,Eric Ebron,3100,12.08342857,50000,157.0406,1
