,,,,,comp,att,,pass yards,pass td,int,rating,rush,ru yards,ru TDS,REC,rec yards,REC tds, FL ,total yards,total tds,Punt TDS,returning TDs,FPTS,,FleaFlicker
Heath Miller,TE,PIT,11,BAL,,,,,,,,0,0,0,4,34,1,0,34,1,0,0,9.4,55%,
Donte Moncrief,WR,IND,10,JACSun 1:00,,,,,,,,0,2,0,3,31,1,0,33,1,0,0,9.3,70%,
Maxx Williams,TE,BAL,9,@PIT,,,,,,,,0,0,0,3,33,1,0,33,1,0,0,9.3,18%,
Owen Daniels,TE,DEN,7,MINSun 4:25,,,,,,,,0,0,0,3,30,1,0,30,1,0,0,9,47%,
Coby Fleener,TE,IND,10,JACSun 1:00,,,,,,,,0,0,0,3,29,1,0,29,1,0,0,8.9,64%,
Darren Sproles,RB,PHI,8,@WASSun 1:00,,,,,,,,6,31,0,5,42,0,0,73,0,0,0,7.3,78%,
Jonathan Stewart,RB,CAR,5,@TBSun 1:00,,,,,,,,14,59,0,2,13,0,0,72,0,0,0,7.2,86%,
Ryan Mathews,RB,PHI,8,@WASSun 1:00,,,,,,,,14,59,0,2,16,0,1,75,0,0,0,6.5,81%,
David Johnson,RB,ARI,9,STLSun 4:25,,,,,,,,8,41,0,2,21,0,0,62,0,0,0,6.2,69%,
Giovani Bernard,RB,CIN,7,KCSun 1:00,,,,,,,,9,39,0,3,21,0,0,60,0,0,0,6,89%,
 Previous2345678Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Sims,RB,TB,6,CARSun 1:00,,,,,,,,8,39,0,2,17,0,0,56,0,0,0,5.6,49%,
Lorenzo Taliaferro,RB,BAL,9,@PIT,,,,,,,,10,44,0,2,12,0,0,56,0,0,0,5.6,23%,
Devonta Freeman,RB,ATL,10,HOUSun 1:00,,,,,,,,12,41,0,2,15,0,0,56,0,0,0,5.6,87%,
Tre Mason,RB,STL,6,@ARISun 4:25,,,,,,,,10,44,0,2,11,0,0,55,0,0,0,5.5,63%,
Tavon Austin,WR,STL,6,@ARISun 4:25,,,,,,,,3,24,0,3,28,0,0,52,0,0,0,5.2,25%,
Alfred Morris,RB,WAS,8,PHISun 1:00,,,,,,,,10,44,0,1,5,0,0,49,0,0,0,4.9,92%,
Marqise Lee,WR,JAC,8,@INDSun 1:00,,,,,,,,0,1,0,4,48,0,0,49,0,0,0,4.9,8%,
Shane Vereen,RB,NYG,11,@BUFSun 1:00,,,,,,,,6,23,0,3,26,0,0,49,0,0,0,4.9,70%,
Cecil Shorts,WR,HOU,9,@ATLSun 1:00,,,,,,,,0,0,0,4,48,0,0,48,0,0,0,4.8,14%,
Rueben Randle,WR,NYG,11,@BUFSun 1:00,,,,,,,,0,0,0,4,48,0,0,48,0,0,0,4.8,51%,
Roy Helu,RB,OAK,6,@CHISun 1:00,,,,,,,,5,23,0,3,24,0,0,47,0,0,0,4.7,14%,
Jacquizz Rodgers,RB,CHI,7,OAKSun 1:00,,,,,,,,6,28,0,3,18,0,0,46,0,0,0,4.6,4%,
Chris Givens,WR,STL,6,@ARISun 4:25,,,,,,,,0,0,0,3,46,0,0,46,0,0,0,4.6,1%,
Marcedes Lewis,TE,JAC,8,@INDSun 1:00,,,,,,,,0,0,0,4,45,0,0,45,0,0,0,4.5,2%,
Garrett Graham,TE,HOU,9,@ATLSun 1:00,,,,,,,,0,0,0,4,43,0,0,43,0,0,0,4.3,5%,
Jeremy Kerley,WR,NYJ,5,@MIASun 9:30,,,,,,,,0,2,0,4,41,0,0,43,0,0,0,4.3,2%,
Eric Decker,WR,NYJ,5,@MIASun 9:30,,,,,,,,0,0,0,3,42,0,0,42,0,0,0,4.2,81%,
Andrew Hawkins,WR,CLE,11,@SDSun 4:05,,,,,,,,0,1,0,3,39,0,0,40,0,0,0,4,7%,
Jarius Wright,WR,MIN,5,@DENSun 4:25,,,,,,,,1,6,0,3,34,0,0,40,0,0,0,4,3%,
Jaelen Strong,WR,HOU,9,@ATLSun 1:00,,,,,,,,0,0,0,3,40,0,0,40,0,0,0,4,10%,
 Previous3456789Next ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
