Dion Sims TE - MIA DNP View News,NYJ,-,-,-,-,-,8,-,-,-,-,0.80
Jacob Tamme TE - ATL DNP,HOU,-,-,-,-,-,8,-,-,-,-,0.80
Chris Conley WR - KC FP,@CIN,-,-,-,-,-,7,-,-,-,-,0.70
Daniel Fells TE - NYG DNP View News,@BUF,-,-,-,-,-,7,-,-,-,-,0.70
Josh Hill TE - NO,DAL,-,-,-,-,-,7,-,-,-,-,0.70
Tyler Kroft TE - CIN,KC,-,-,-,-,-,7,-,-,-,-,0.70
Paul Richardson WR - SEA PUP,DET,-,-,-,-,-,7,-,-,-,-,0.00
Clive Walford TE - OAK,@CHI,-,-,-,-,-,7,-,-,-,-,0.70
Javorius Allen RB - BAL View News View Videos,@PIT,-,-,-,4,-,2,-,-,-,-,0.60
Michael Campanaro WR - BAL View News View Videos,@PIT,-,-,-,-,-,6,-,-,-,-,0.60
Jonathan Grimes RB - HOU DNP View News,@ATL,-,-,-,4,-,2,-,-,-,-,0.60
Bernard Pierce RB - JAC,@IND,-,-,-,5,-,1,-,-,-,-,0.60
MyCole Pruitt TE - MIN,@DEN,-,-,-,-,-,6,-,-,-,-,0.60
Juwan Thompson RB - DEN FP,MIN,-,-,-,5,-,1,-,-,-,-,0.60
Anthony Dixon RB - BUF,NYG,-,-,-,4,-,1,-,-,-,-,0.50
John Kuhn RB - GB,@SF,-,-,-,2,-,1,-,-,-,-,0.30
Kamar Aiken WR - BAL View News View Videos,@PIT,-,-,-,-,-,2,-,-,-,-,0.20
Derek Anderson QB - CAR,@TB,-,-,-,-,-,-,-,-,-,-,0.00
Doug Baldwin WR - SEA,DET,-,-,-,-,-,-,-,-,-,-,0.00
Matt Barkley QB - ARI,STL,-,-,-,-,-,-,-,-,-,-,0.00
Brenton Bersin WR - CAR,@TB,-,-,-,-,-,-,-,-,-,-,0.00
Drew Brees QB - NO LP View News View Videos,DAL,-,-,-,-,-,-,-,-,-,-,0.00
Rex Burkhead RB - CIN,KC,-,-,-,-,-,-,-,-,-,-,0.00
Matt Cassel QB - DAL View Videos,@NO,-,-,-,-,-,-,-,-,-,-,0.00
Kellen Clemens QB - SD View Videos,CLE,-,-,-,-,-,-,-,-,-,-,0.00
Tevin Coleman RB - ATL DNP View News,HOU,-,-,-,-,-,-,-,-,-,-,0.00
Chase Daniel QB - KC,@CIN,-,-,-,-,-,-,-,-,-,-,0.00
Austin Davis QB - CLE,@SD,-,-,-,-,-,-,-,-,-,-,0.00
Stefon Diggs WR - MIN,@DEN,-,-,-,-,-,-,-,-,-,-,0.00
Rhett Ellison TE - MIN,@DEN,-,-,-,-,-,-,-,-,-,-,0.00
Arian Foster RB - HOU LP View News,@ATL,-,-,-,-,-,-,-,-,-,-,0.00
Blaine Gabbert QB - SF,GB,-,-,-,-,-,-,-,-,-,-,0.00
Mike Glennon QB - TB,CAR,-,-,-,-,-,-,-,-,-,-,0.00
Jonas Gray RB - MIA DNP View News,NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Robert Griffin III QB - WAS,PHI,-,-,-,-,-,-,-,-,-,-,0.00
Demetrius Harris TE - KC,@CIN,-,-,-,-,-,-,-,-,-,-,0.00
Matt Hasselbeck QB - IND,JAC,-,-,-,-,-,-,-,-,-,-,0.00
Chad Henne QB - JAC,@IND,-,-,-,-,-,-,-,-,-,-,0.00
Devin Hester WR - ATL LP,HOU,-,-,-,-,-,-,-,-,-,-,0.00
Shaun Hill QB - MIN,@DEN,-,-,-,-,-,-,-,-,-,-,0.00
Brian Hoyer QB - HOU,@ATL,-,-,-,-,-,-,-,-,-,-,0.00
DeSean Jackson WR - WAS DNP View News,PHI,-,-,-,-,-,-,-,-,-,-,0.00
Tarvaris Jackson QB - SEA,DET,-,-,-,-,-,-,-,-,-,-,0.00
Jesse James TE - PIT IA,BAL,-,-,-,-,-,-,-,-,-,-,0.00
Taiwan Jones RB - OAK DNP View News,@CHI,-,-,-,-,-,-,-,-,-,-,0.00
Jermaine Kearse WR - SEA,DET,-,-,-,-,-,-,-,-,-,-,0.00
Case Keenum QB - STL,@ARI,-,-,-,-,-,-,-,-,-,-,0.00
EJ Manuel QB - BUF,NYG,-,-,-,-,-,-,-,-,-,-,0.00
