Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,,,,,FL,FPTS,CBS,Player,,Player_ID,
Passing,Rushing,Misc,,,,,,,,,,,,,,,,,,,,
Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,,,,,FL,FPTS,,,,,
"Malcolm Johnson,CLE",,,,,,,,,,,,0,0.2,8.5,0,0,0,,,,,
"Marcedes Lewis,JAC",,,,,,,,,,,,1.2,16.1,13.8,0.2,0.1,0,,,,,
"Rhett Ellison,MIN",,,,,,,,,,,,1.7,14.1,8.2,0.1,0,0,,,,,
"Virgil Green,DEN",,,,,,,,,,,,2.3,21.5,9.3,0.2,0,0,,,,,
"James O'Shaughnessy,KC",,,,,,,,,,,,1.8,17.7,10,0.1,0,0,,,,,
"Brandon Williams,MIA",,,,,,,,,,,,0,0.4,11.6,0,0,0,,,,,
"Zach Ertz,PHI",,,,,,,,,,,,2.7,33.4,12.6,0.2,0,0,,,,,
"Darren Fells,ARI",,,,,,,,,,,,2.1,31.9,15.3,0.4,0,0,,,,,
"Kennard Backman,GB",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Brandon Pettigrew,DET",,,,,,,,,,,,1.7,14.4,8.6,0.1,0,0,,,,,
"Richie Brockel,CAR",,,,,,,,,,,,0,0.1,10.7,0,0,0,,,,,
"Luke Willson,SEA",,,,,,,,,,,,1.6,24.9,16.1,0.2,0,0,,,,,
"Timothy Wright,DET",,,,,,,,,,,,0.1,1.3,9.1,0,0,0,,,,,
"Benjamin Watson,NO",,,,,,,,,,,,2.8,28.4,10,0.2,0.2,0,,,,,
"Matt Spaeth,PIT",,,,,,,,,,,,0,0.6,12.5,0,0,0,,,,,
"Daniel Fells,NYG",,,,,,,,,,,,1.9,20.5,10.5,0.1,0.2,0,,,,,
"John Phillips,SD",,,,,,,,,,,,0,0.4,8.1,0,0,0,,,,,
"Clive Walford,OAK",,,,,,,,,,,,0.1,0.5,7.3,0,0,0,,,,,
"C.J. Fiedorowicz,HOU",,,,,,,,,,,,1.6,16.7,10.2,0.1,0,0,,,,,
"Derek Carrier,WAS",,,,,,,,,,,,0,0.3,8.6,0,0,0,,,,,
"Nick O'Leary,BUF",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Luke Stocker,TB",,,,,,,,,,,,0.8,7.7,10,0.1,0,0,,,,,
"Mychal Rivera,OAK",,,,,,,,,,,,3.2,29.3,9.1,0.3,0,0,,,,,
"Andrew Quarless,GB",,,,,,,,,,,,1.8,19.3,10.5,0.1,0,0,,,,,
"Clay Harbor,JAC",,,,,,,,,,,,2.4,29.7,12.4,0.3,0,0,,,,,
"Rob Housler,CLE",,,,,,,,,,,,1.7,20.9,12.3,0.1,0,0,,,,,
"Brent Celek,PHI",,,,,,,,,,,,1.7,21.6,12.5,0.1,0.1,0,,,,,
"Brian Parker,KC",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Cooper Helfet,SEA",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Greg Olsen,CAR",,,,,,,,,,,,5.7,70.4,12.4,0.4,0,0,,,,,
"Jordan Reed,WAS",,,,,,,,,,,,4.1,48.8,11.8,0.2,0.1,0,,,,,
"Garrett Celek,SF",,,,,,,,,,,,1.5,21.3,14.2,0.1,0,0,,,,,
"Travis Kelce,KC",,,,,,,,,,,,4.7,57,12.2,0.4,0.1,0,,,,,
"Eric Ebron,DET",,,,,,,,,,,,3.3,32.4,9.7,0.3,0,0,,,,,
"Larry Donnell,NYG",,,,,,,,,,,,3.1,26.9,8.8,0.2,0.2,0,,,,,
"Mitchell Henry,DEN",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Dion Sims,MIA",,,,,,,,,,,,1.6,17.4,11,0.1,0,0,,,,,
"James Hanna,DAL",,,,,,,,,,,,0,0.3,9.1,0,0,0,,,,,
"Troy Niklas,ARI",,,,,,,,,,,,0,0.5,11.1,0,0,0,,,,,
"Nic Jacobs,JAC",,,,,,,,,,,,0,0.4,9.6,0,0,0,,,,,
"Ryan Hewitt,CIN",,,,,,,,,,,,0.8,9.5,12.4,0.1,0,0,,,,,
"Dwayne Allen,IND",,,,,,,,,,,,2.3,26,11.2,0.8,0,0,,,,,
"Coby Fleener,IND",,,,,,,,,,,,2.7,37.7,13.8,0.3,0,0,,,,,
"James Casey,DEN",,,,,,,,,,,,0.4,6,15.2,0.2,0,0,,,,,
"Nick Boyle,BAL",,,,,,,,,,,,1.7,17.7,10.4,0.1,0,0,,,,,
"Khari Lee,CHI",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Jerome Cunningham,NYG",,,,,,,,,,,,0,0,0,0,0,0,,,,,
"Demetrius Harris,KC",,,,,,,,,,,,0,0.3,7.5,0,0,0,,,,,
"Blake Bell,SF",,,,,,,,,,,,0,0,0,0,0,0,,,,,
Pages: 1 2 All,,,,,,,,,,,,,,,,,,,,,,
Player,,,,,,,,,Int,DFR,FF,SACK,DTD,STY,PA,TYdA,FPTS,,,,,0
Player,,,,,,,,,Int,DFR,FF,SACK,DTD,STY,PA,TYdA,FPTS,,,,,
"Raiders,OAK",,,,,,,,,1.2,0.6,0.8,1.8,0.2,0,21.4,308,0,,,,,
"Browns,CLE",,,,,,,,,1.6,0.8,1,2.2,0.2,0,24.1,367,0,,,,,
"Falcons,ATL",,,,,,,,,1,0.8,1.1,1.4,0.1,0,19.1,386,0,,,,,
"Texans,HOU",,,,,,,,,1.3,0.7,0.9,1.7,0.3,0,24.2,370,0,,,,,
"Buccaneers,TB",,,,,,,,,0.9,0.7,1,2.2,0.2,0,21.5,372,0,,,,,
"Broncos,DEN",,,,,,,,,1.4,0.5,0.7,3,0.2,0,20.1,283,0,,,,,
"Redskins,WAS",,,,,,,,,1.1,1.1,1.6,2.5,0.2,0,25.5,423,0,,,,,
