,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire
322,Kenny Stills,WR,3000,Hou@Mia 01:00PM ET,6.14,Mia,4.5,7.6,5.39,6.8,7.5,2.66,4.715
323,Jay Prosch,RB,3000,Hou@Mia 01:00PM ET,0.467,Hou,,,1.12,,,0.04,2.293
324,Jalston Fowler,RB,3000,Atl@Ten 01:00PM ET,2.02,Ten,,,2.05,,,0.04,
325,TJ Jones,WR,3000,Min@Det 01:00PM ET,0.2,Det,,,,,,0.45,
326,Orleans Darkwa,RB,3000,Dal@NYG 04:25PM ET,0.0,NYG,,,,,,0.08,
327,Roosevelt Nix,RB,3000,Pit@KC 01:00PM ET,0.0,Pit,,,,,,,
328,Rod Streater,WR,3000,Oak@SD 04:05PM ET,1.8,Oak,,3.6,4.76,2.8,,0.84,
329,Marcus Murphy,RB,3000,NO@Ind 01:00PM ET,1.0,NO,,,,,,,
330,Andre Williams,RB,3000,Dal@NYG 04:25PM ET,3.45,NYG,2.0,3.2,6.2,3.8,4.11,6.12,5.263
331,Rod Smith,RB,3000,Dal@NYG 04:25PM ET,0.5,Dal,,,,,,,
332,Walt Powell,WR,3000,Oak@SD 04:05PM ET,0.0,Oak,,,,,,,
333,Malcolm Johnson,RB,3000,Cle@StL 01:00PM ET,0.733,Cle,,,,,,0.03,1.72
334,James White,RB,3000,NYJ@NE 01:00PM ET,1.85,NE,,3.0,,2.9,,0.17,1.697
335,Brandon Coleman,WR,3000,NO@Ind 01:00PM ET,4.383,NO,4.0,6.8,6.29,6.4,3.05,9.09,4.462
336,Michael Burton,RB,3000,Min@Det 01:00PM ET,0.517,Det,,,,,,,2.014
337,Albert Wilson,WR,3000,Pit@KC 01:00PM ET,5.05,KC,5.0,1.8,10.39,1.9,5.4,7.47,6.439
338,Corey Grant,RB,3000,Buf@Jax 09:30AM ET,0.417,Jax,,,,,,,
339,DeAndrew White,WR,3000,Sea@SF 08:25PM ET,1.267,SF,,,,,,,
340,Matt Hazel,WR,3000,Hou@Mia 01:00PM ET,0.0,Mia,,,,,,,
341,Keith Mumphery,WR,3000,Hou@Mia 01:00PM ET,3.833,Hou,2.5,3.2,,3.6,6.87,5.42,4.009
342,Justin Hardy,WR,3000,Atl@Ten 01:00PM ET,0.0,Atl,,1.6,,1.8,,0.4,1.186
343,J.J. Nelson,WR,3000,Bal@Ari 08:30PM ET,-0.5,Ari,,1.8,,1.9,2.08,0.61,
344,Andre Holmes,WR,3000,Oak@SD 04:05PM ET,3.06,Oak,,3.2,3.32,2.6,1.96,4.74,3.455
345,Corey Fuller,WR,3000,Min@Det 01:00PM ET,1.62,Det,,,3.96,,,2.43,1.069
346,Geremy Davis,WR,3000,Dal@NYG 04:25PM ET,0.683,NYG,,,,,1.36,2.63,
347,Jamize Olawale,RB,3000,Oak@SD 04:05PM ET,2.233,Oak,,,,,1.09,,
348,Jerick McKinnon,RB,3000,Min@Det 01:00PM ET,1.6,Min,2.5,2.9,2.01,3.1,1.88,0.94,4.432
349,Corey Brown,WR,3000,Phi@Car 08:30PM ET,5.24,Car,,6.4,4.24,6.4,5.5,3.54,
350,Zach Zenner,RB,3000,Min@Det 01:00PM ET,1.517,Det,,,,,,,
351,Terrence Magee,RB,3000,Bal@Ari 08:30PM ET,0.0,Bal,,,,,,,
352,Terron Ward,RB,3000,Atl@Ten 01:00PM ET,3.267,Atl,,2.6,,2.9,,,3.252
353,Chris Conley,WR,3000,Pit@KC 01:00PM ET,2.683,KC,4.0,1.6,6.46,1.8,7.03,7.81,3.45
354,Quinton Patton,WR,3000,Sea@SF 08:25PM ET,4.983,SF,4.0,,3.21,,4.45,4.3,
355,Sammie Coates,WR,3000,Pit@KC 01:00PM ET,0.525,Pit,,1.6,,1.8,,,2.451
356,Terrance West,RB,3000,Atl@Ten 01:00PM ET,1.55,Ten,,1.3,,1.1,,0.17,1.689
357,Phillip Dorsett,WR,3000,NO@Ind 01:00PM ET,5.217,Ind,4.5,3.4,5.91,2.7,5.44,4.21,4.743
358,Rashad Ross,WR,3000,TB@Was 01:00PM ET,3.72,Was,,,,,,4.66,
359,Marqise Lee,WR,3000,Buf@Jax 09:30AM ET,4.1,Jax,,,5.1,,,,
360,Darren Waller,WR,3000,Bal@Ari 08:30PM ET,0.76,Bal,,,,,,2.35,
361,DeVante Parker,WR,3000,Hou@Mia 01:00PM ET,1.78,Mia,2.0,3.0,4.38,2.5,2.75,0.26,3.148
362,Bruce Ellington,WR,3000,Sea@SF 08:25PM ET,2.8,SF,,2.5,2.79,2.3,,2.22,
363,Bradley Marquez,WR,3000,Cle@StL 01:00PM ET,0.0,StL,,,,,,,
364,Eric Ebron,TE,3000,Min@Det 01:00PM ET,11.225,Det,5.0,15.0,6.77,14.5,10.3,,8.154
365,Devin Smith,WR,3000,NYJ@NE 01:00PM ET,3.433,NYJ,4.0,3.4,3.54,2.7,5.72,1.77,2.429
366,Raheem Mostert,RB,3000,Bal@Ari 08:30PM ET,0.0,Bal,,,,,,,
367,Josh Robinson,RB,3000,NO@Ind 01:00PM ET,2.44,Ind,,2.4,4.83,3.1,,1.08,1.406
368,De'Anthony Thomas,WR,3000,Pit@KC 01:00PM ET,3.383,KC,4.0,7.8,4.12,9.1,3.48,9.08,6.5624
369,Brittan Golden,WR,3000,Bal@Ari 08:30PM ET,0.0,Ari,,,,,,,
370,Cordarrelle Patterson,WR,3000,Min@Det 01:00PM ET,0.78,Min,2.5,5.8,,5.4,,0.06,
371,Damien Williams,RB,3000,Hou@Mia 01:00PM ET,3.42,Mia,,1.9,5.2,2.4,3.17,4.24,3.279
372,Mike Davis,RB,3000,Sea@SF 08:25PM ET,1.967,SF,,,3.89,,,,1.273
373,Devin Funchess,WR,3000,Phi@Car 08:30PM ET,2.24,Car,4.0,11.6,6.18,10.8,5.95,7.18,2.759
374,Cameron Artis-Payne,RB,3000,Phi@Car 08:30PM ET,1.033,Car,,2.0,,2.6,,1.82,2.552
375,Lucky Whitehead,WR,3000,Dal@NYG 04:25PM ET,0.175,Dal,,,,,,0.02,
376,Jaelen Strong,WR,3000,Hou@Mia 01:00PM ET,10.4,Hou,,7.6,8.51,6.8,2.0,3.23,3.923
377,Adam Thielen,WR,3000,Min@Det 01:00PM ET,3.32,Min,,,,,,3.29,
