Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Darren Sproles,RB,3600,Phi@Det 12:30PM ET,9.01,Phi,6.0,10.9,8.84,11.9,11.99,6.73,10.422,9.54028571429,11.99,6.0,5.99,0.627863795634
Ahmad Bradshaw,RB,3600,TB@Ind 01:00PM ET,7.46,Ind,,,8.96,,6.55,4.61,7.986,7.0265,8.96,4.61,4.35,0.619084892905
Cecil Shorts III,WR,3600,NO@Hou 01:00PM ET,11.434,Hou,10.0,9.4,7.96,8.7,9.83,9.67,9.006,9.22371428571,10.0,7.96,2.04,0.221169036335
Jamison Crowder,WR,3600,NYG@Was 01:00PM ET,9.19,Was,4.5,10.6,7.76,10.5,9.89,12.71,9.717,9.38242857143,12.71,4.5,8.21,0.87503996833
Theo Riddick,RB,3500,Phi@Det 12:30PM ET,11.33,Det,12.5,5.6,10.44,5.9,11.68,6.47,7.84,8.63285714286,12.5,5.6,6.9,0.799271884825
Patriots ,DST,3500,NE@Den 08:30PM ET,8.3,NE,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.0,0.0
Charles Clay,TE,3500,Buf@KC 01:00PM ET,9.82,Buf,8.0,13.8,8.67,14.9,7.8,10.91,8.66,10.3914285714,14.9,7.8,7.1,0.6832554303
Andre Ellington,RB,3500,Ari@SF 04:05PM ET,8.671,Ari,5.5,7.4,8.52,7.7,5.23,9.07,6.0588,7.0684,9.07,5.23,3.84,0.543262973233
Charles Sims,RB,3500,TB@Ind 01:00PM ET,10.32,TB,9.0,7.3,9.65,7.6,10.27,5.47,8.499,8.25557142857,10.27,5.47,4.8,0.58142553081
Terron Ward,RB,3500,Min@Atl 01:00PM ET,2.79,Atl,3.0,2.6,8.04,2.9,8.16,,1.7442,4.40736666667,8.16,1.7442,6.4158,1.45569917033
C.J. Anderson,RB,3500,NE@Den 08:30PM ET,7.65,Den,6.5,4.8,8.16,4.9,6.09,8.39,5.294,6.30485714286,8.39,4.8,3.59,0.56940227489
Ryan Mathews,RB,3400,Phi@Det 12:30PM ET,11.733,Phi,,,,,,,,,,,,
Roddy White,WR,3400,Min@Atl 01:00PM ET,5.24,Atl,6.5,4.2,9.15,4.1,8.78,9.88,4.442,6.72171428571,9.88,4.1,5.78,0.859899685454
Andre Johnson,WR,3400,TB@Ind 01:00PM ET,7.31,Ind,4.5,5.0,10.58,4.5,6.02,9.63,5.281,6.50157142857,10.58,4.5,6.08,0.935158533102
Brian Hartline,WR,3400,Bal@Cle 08:30PM ET,6.656,Cle,7.5,5.6,9.18,5.8,10.84,9.6,5.76,7.75428571429,10.84,5.6,5.24,0.675755342668
Chris Givens,WR,3400,Bal@Cle 08:30PM ET,4.256,Bal,8.0,7.4,5.13,6.7,9.73,9.43,4.604,7.28485714286,9.73,4.604,5.126,0.70365140997
Kyle Rudolph,TE,3400,Min@Atl 01:00PM ET,8.48,Min,6.0,12.0,7.42,12.0,7.44,10.13,5.827,8.68814285714,12.0,5.827,6.173,0.710508574905
Julius Thomas,TE,3400,SD@Jax 01:00PM ET,8.117,Jax,8.0,15.4,10.53,15.7,10.28,7.9,8.896,10.958,15.7,7.9,7.8,0.71180872422
David Cobb,RB,3400,Oak@Ten 01:00PM ET,-0.3,Ten,4.5,12.1,3.63,12.0,5.91,4.51,4.7688,6.77411428571,12.1,3.63,8.47,1.25034796326
Joique Bell,RB,3300,Phi@Det 12:30PM ET,5.557,Det,3.0,5.3,6.76,5.3,5.0,4.93,5.515,5.115,6.76,3.0,3.76,0.735092864125
Ameer Abdullah,RB,3300,Phi@Det 12:30PM ET,6.66,Det,4.5,5.1,8.56,5.0,8.84,11.47,7.547,7.28814285714,11.47,4.5,6.97,0.956347884039
Eric Ebron,TE,3300,Phi@Det 12:30PM ET,9.625,Det,7.5,15.4,11.17,14.7,8.98,9.17,8.024,10.7062857143,15.4,7.5,7.9,0.737884286934
Rams ,DST,3300,StL@Cin 01:00PM ET,9.6,StL,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0.0,0.0
Marques Colston,WR,3300,NO@Hou 01:00PM ET,9.033,NO,6.0,17.6,8.42,16.8,9.67,11.89,6.389,10.967,17.6,6.0,11.6,1.05771861038
Jacob Tamme,TE,3300,Min@Atl 01:00PM ET,10.289,Atl,10.5,1.6,8.59,1.8,11.08,9.39,10.369,7.61842857143,11.08,1.6,9.48,1.24435110353
Andrew Hawkins,WR,3300,Bal@Cle 08:30PM ET,6.95,Cle,,,,,,,,,,,,
Marcel Reece,RB,3300,Oak@Ten 01:00PM ET,6.23,Oak,2.5,1.6,5.99,2.0,4.39,3.71,2.664,3.26485714286,5.99,1.6,4.39,1.34462238558
Mike Wallace,WR,3300,Min@Atl 01:00PM ET,6.64,Min,5.0,19.8,7.7,18.0,8.06,8.58,4.997,10.3052857143,19.8,4.997,14.803,1.43644731552
Bilal Powell,RB,3300,Mia@NYJ 01:00PM ET,8.45,NYJ,6.5,6.5,8.57,6.8,10.29,4.69,5.2504,6.94291428571,10.29,4.69,5.6,0.80657772364
Jermaine Kearse,WR,3300,Pit@Sea 04:25PM ET,6.92,Sea,6.0,5.1,8.12,4.6,7.37,9.94,7.687,6.97385714286,9.94,4.6,5.34,0.76571686093
Kyle Juszczyk,RB,3300,Bal@Cle 08:30PM ET,5.89,Bal,,,4.03,,4.85,4.78,1.353,3.75325,4.85,1.353,3.497,0.931725837607
Marlon Brown,WR,3300,Bal@Cle 08:30PM ET,2.52,Bal,4.5,7.0,,6.5,,2.47,2.284,4.5508,7.0,2.284,4.716,1.03630130966
Kenny Stills,WR,3300,Mia@NYJ 01:00PM ET,6.31,Mia,4.0,7.6,6.22,6.8,8.77,8.42,4.877,6.66957142857,8.77,4.0,4.77,0.715188382205
David Johnson,RB,3300,Ari@SF 04:05PM ET,9.31,Ari,2.5,7.2,6.35,7.4,5.39,3.08,3.03,4.99285714286,7.4,2.5,4.9,0.981402002861
Robert Woods,WR,3300,Buf@KC 01:00PM ET,7.98,Buf,8.5,8.6,8.05,8.3,9.32,10.27,6.825,8.55214285714,10.27,6.825,3.445,0.402823018458
Jay Ajayi,RB,3300,Mia@NYJ 01:00PM ET,4.833,Mia,4.0,2.7,5.46,2.8,5.11,3.96,5.62,4.23571428571,5.62,2.7,2.92,0.689376053963
Dorial Green-Beckham,WR,3300,Oak@Ten 01:00PM ET,4.91,Ten,7.0,5.8,7.18,4.9,6.84,9.72,9.732,7.31028571429,9.732,4.9,4.832,0.66098647698
Brent Celek,TE,3200,Phi@Det 12:30PM ET,6.14,Phi,15.5,2.6,6.87,2.3,9.07,9.92,30.464,10.9605714286,30.464,2.3,28.164,2.56957405766
Eddie Royal,WR,3200,Chi@GB 08:30PM ET,8.167,Chi,,,,,,,,,,,,
Robert Turbin,RB,3200,Car@Dal 04:30PM ET,3.4,Dal,2.0,,5.71,,6.13,,2.978,4.2045,6.13,2.0,4.13,0.982280889523
Cole Beasley,WR,3200,Car@Dal 04:30PM ET,8.08,Dal,6.0,4.6,7.12,4.3,7.62,4.4,4.368,5.48685714286,7.62,4.3,3.32,0.605082274526
Nelson Agholor,WR,3200,Phi@Det 12:30PM ET,3.971,Phi,5.0,4.8,5.49,4.4,6.22,6.11,4.988,5.28685714286,6.22,4.4,1.82,0.344249891915
Jets ,DST,3200,Mia@NYJ 01:00PM ET,7.1,NYJ,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,0.0,0.0
Dexter McCluster,RB,3200,Oak@Ten 01:00PM ET,8.27,Ten,,,,,,,5.8516,5.8516,5.8516,5.8516,0.0,0.0
Kenny Britt,WR,3200,StL@Cin 01:00PM ET,6.11,StL,5.0,7.1,6.61,5.6,6.26,7.35,5.691,6.23014285714,7.35,5.0,2.35,0.377198413244
Torrey Smith,WR,3200,Ari@SF 04:05PM ET,7.62,SF,7.0,6.2,7.66,5.1,7.24,9.24,6.201,6.94871428571,9.24,5.1,4.14,0.595793672005
Chris Polk,RB,3200,NO@Hou 01:00PM ET,4.756,Hou,,1.7,7.06,2.3,6.9,3.38,4.525,4.31083333333,7.06,1.7,5.36,1.2433790837
Chris Thompson,RB,3200,NYG@Was 01:00PM ET,8.167,Was,9.0,3.1,8.25,4.0,8.93,7.52,5.6908,6.64154285714,9.0,3.1,5.9,0.888347802146
Chris Hogan,WR,3200,Buf@KC 01:00PM ET,7.116,Buf,6.5,2.8,6.52,2.4,5.75,8.92,5.3046,5.45637142857,8.92,2.4,6.52,1.19493331518
Adam Humphries,WR,3200,TB@Ind 01:00PM ET,4.543,TB,5.0,,6.99,,5.0,7.32,,6.0775,7.32,5.0,2.32,0.381735911148
Isaiah Crowell,RB,3200,Bal@Cle 08:30PM ET,7.52,Cle,6.0,6.4,9.32,6.6,8.36,8.27,5.396,7.19228571429,9.32,5.396,3.924,0.54558455488
Packers ,DST,3100,Chi@GB 08:30PM ET,7.8,GB,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,0.0,0.0
Eagles ,DST,3100,Phi@Det 12:30PM ET,9.0,Phi,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,0.0,0.0
Jerricho Cotchery,WR,3100,Car@Dal 04:30PM ET,6.288,Car,4.0,4.4,7.15,4.2,6.78,9.5,4.5024,5.79034285714,9.5,4.0,5.5,0.949857398032
Josh Huff,WR,3100,Phi@Det 12:30PM ET,6.478,Phi,6.0,6.6,5.74,6.3,4.73,2.99,5.088,5.34971428571,6.6,2.99,3.61,0.674802392651
Richard Rodgers,TE,3100,Chi@GB 08:30PM ET,9.54,GB,14.0,16.4,8.07,15.2,9.13,8.1,8.28,11.3114285714,16.4,8.07,8.33,0.736423339227
Falcons ,DST,3100,Min@Atl 01:00PM ET,7.0,Atl,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,0.0,0.0
Heath Miller,TE,3100,Pit@Sea 04:25PM ET,7.95,Pit,16.5,10.0,7.5,11.0,10.71,12.59,10.477,11.2538571429,16.5,7.5,9.0,0.799725808294
Harry Douglas,WR,3100,Oak@Ten 01:00PM ET,5.5,Ten,6.5,9.8,6.37,8.9,6.31,12.47,4.705,7.865,12.47,4.705,7.765,0.987285441831
Albert Wilson,WR,3100,Buf@KC 01:00PM ET,5.838,KC,5.0,1.8,5.92,1.9,7.72,5.99,5.205,4.79071428571,7.72,1.8,5.92,1.23572387058
Seth Roberts,WR,3100,Oak@Ten 01:00PM ET,5.09,Oak,,,3.3,,5.09,9.49,,5.96,9.49,3.3,6.19,1.03859060403
Lance Moore,WR,3000,Phi@Det 12:30PM ET,8.27,Det,4.0,1.6,5.53,1.8,6.86,7.51,4.138,4.49114285714,7.51,1.6,5.91,1.3159234048
Miles Austin,WR,3000,Phi@Det 12:30PM ET,3.92,Phi,,3.0,4.47,2.5,3.43,,3.019,3.2838,4.47,2.5,1.97,0.599914732931
