Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Bryce Brown,22165,RB,5000,PIT@SEA,0.0,SEA,,,,,,,,,,,,
Matt Bryant,10647,K,5000,MIN@ATL,7.4,ATL,,,,,,,,,,,,
E.J. Manuel,24949,QB,5000,BUF@KC,10.3,BUF,,,,,,,,,,,,
Ryan Lindley,22128,QB,5000,NE@DEN,0.0,NE,,,,,,,,,,,,
Steven Hauschka,6724,K,5000,PIT@SEA,9.6,SEA,,,,,,,,,,,,
Ladarius Green,22047,TE,5000,SD@JAC,9.3,SD,4.5,14.4,7.31,14.2,6.24,8.02,3.338,8.28685714286,14.4,3.338,11.062,1.33488484347
Ryan Mathews,11425,RB,4900,PHI@DET,10.4,PHI,,,,,,,,,,,,
Graham Gano,10744,K,4900,CAR@DAL,10.5,CAR,,,,,,,,,,,,
Devin Street,25886,WR,4900,CAR@DAL,1.7,DAL,,,,,2.39,1.13,2.972,2.164,2.972,1.13,1.842,0.851201478743
Brice Butler,39445,WR,4900,CAR@DAL,3.1,DAL,,,,,,,,,,,,
Green Bay Packers,12533,D,4900,CHI@GB,7.8,GB,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,0.0,0.0
Mike Tolbert,7975,RB,4900,CAR@DAL,4.5,CAR,3.0,4.2,5.09,4.7,4.92,2.99,2.1875,3.86964285714,5.09,2.1875,2.9025,0.75006922012
Robert Turbin,22048,RB,4900,CAR@DAL,3.0,DAL,2.0,,5.71,,6.13,,2.484,4.081,6.13,2.0,4.13,1.01200686106
Jared Abbrederis,28933,WR,4900,CHI@GB,1.5,GB,,,,,,,,,,,,
Fred Jackson,7660,RB,4900,PIT@SEA,3.6,SEA,3.0,2.6,5.68,2.7,6.44,4.65,,4.17833333333,6.44,2.6,3.84,0.91902672517
David Cobb,28249,RB,4900,OAK@TEN,-0.3,TEN,4.5,12.1,3.63,12.0,5.91,4.51,3.4293,6.58275714286,12.1,3.4293,8.6707,1.31718363777
Derek Carrier,22920,TE,4900,NYG@WAS,2.6,WAS,,2.6,4.24,3.3,3.34,,2.441,3.1842,4.24,2.441,1.799,0.564977074304
Markus Wheaton,29500,WR,4900,PIT@SEA,4.3,PIT,3.0,3.5,5.07,2.8,5.66,11.24,2.588,4.83685714286,11.24,2.588,8.652,1.7887648414
Roy Helu,14305,RB,4900,OAK@TEN,2.6,OAK,,7.1,6.17,7.8,,,,7.02333333333,7.8,6.17,1.63,0.232083531087
Andrew Hawkins,12903,WR,4900,BAL@CLE,5.1,CLE,,,,,,,,,,,,
Seth Roberts,54741,WR,4900,OAK@TEN,4.3,OAK,,,3.3,,5.09,9.49,,5.96,9.49,3.3,6.19,1.03859060403
Chris Conley,30403,WR,4900,BUF@KC,3.1,KC,4.0,1.4,2.5,1.7,3.66,2.9,1.9176,2.58251428571,4.0,1.4,2.6,1.00677081028
Tre Mason,31261,RB,4900,STL@CIN,2.5,STL,1.5,4.1,2.25,4.4,3.74,4.2,1.802,3.14171428571,4.4,1.5,2.9,0.923062931975
Damien Williams,27441,RB,4900,MIA@NYJ,1.6,MIA,,1.9,,2.4,,,,2.15,2.4,1.9,0.5,0.232558139535
Juwan Thompson,24797,RB,4900,NE@DEN,0.3,DEN,,,,,,,,,,,,
Andre Holmes,14761,WR,4900,OAK@TEN,4.2,OAK,4.0,3.2,5.31,2.6,2.71,4.74,2.428,3.56971428571,5.31,2.428,2.882,0.807347526813
Cairo Santos,33714,K,4900,BUF@KC,10.5,KC,,,,,,,,,,,,
Chris Hogan,14704,WR,4900,BUF@KC,5.8,BUF,6.5,2.8,6.52,2.4,5.75,8.92,3.3856,5.18222857143,8.92,2.4,6.52,1.2581459714
Dontrelle Inman,14645,WR,4900,SD@JAC,3.7,SD,6.5,3.4,5.71,3.7,8.04,11.65,3.6925,6.09892857143,11.65,3.4,8.25,1.35269660947
Justin Tucker,23045,K,4900,BAL@CLE,9.8,BAL,,,,,,,,,,,,
Chris Polk,22234,RB,4900,NO@HOU,4.1,HOU,,1.7,7.06,2.3,6.9,3.38,3.3565,4.11608333333,7.06,1.7,5.36,1.30220881501
St Louis Rams,12538,D,4900,STL@CIN,9.7,STL,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,0.0,0.0
Raheem Mostert,28744,RB,4900,BAL@CLE,0.0,BAL,,,3.39,,2.3,3.41,,3.03333333333,3.41,2.3,1.11,0.365934065934
Will Tye,24847,TE,4900,NYG@WAS,3.0,NYG,4.0,,7.19,,7.07,,2.508,5.192,7.19,2.508,4.682,0.901771956857
Keshawn Martin,22063,WR,4900,NE@DEN,6.2,NE,6.5,,7.77,,10.42,6.19,3.963,6.9686,10.42,3.963,6.457,0.926584966851
Chris Thompson,24891,RB,4900,NYG@WAS,6.6,WAS,9.0,3.1,8.25,4.0,8.93,7.52,3.3538,6.30768571429,9.0,3.1,5.9,0.935366831394
Jarius Wright,22054,WR,4900,MIN@ATL,3.6,MIN,6.0,7.9,5.5,7.3,4.8,10.46,2.5835,6.36335714286,10.46,2.5835,7.8765,1.23779002548
Nelson Agholor,29683,WR,4800,PHI@DET,2.8,PHI,5.0,4.8,5.49,4.4,6.22,6.11,2.841,4.98014285714,6.22,2.841,3.379,0.678494592811
Philadelphia Eagles,12545,D,4800,PHI@DET,9.0,PHI,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,0.0,0.0
Ed Dickson,11488,TE,4800,CAR@DAL,2.7,CAR,2.0,,4.07,,3.04,3.98,1.3505,2.8881,4.07,1.3505,2.7195,0.941622519996
Jerricho Cotchery,6688,WR,4800,CAR@DAL,5.1,CAR,4.0,4.4,7.15,4.2,6.78,9.5,3.1249,5.59355714286,9.5,3.1249,6.3751,1.13972197605
Caleb Sturgis,30261,K,4800,PHI@DET,8.7,PHI,,,,,,,,,,,,
Brandon McManus,26247,K,4800,NE@DEN,9.5,DEN,,,,,,,,,,,,
Logan Thomas,26355,QB,4800,MIA@NYJ,0.0,MIA,,,,,,,,,,,,
Matt Barkley,29605,QB,4800,ARI@SF,0.0,ARI,,,,,,,,,,,,
