"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"11712","RB","Joique","Bell","4.9","6","5400","OAK@DET","DET","OAK","P","Shoulder","",""
"6681","WR","Andre","Johnson","6.5","9","5400","IND@ATL","IND","ATL","","","",""
"22103","WR","Marvin","Jones","9","9","5400","CIN@ARI","CIN","ARI","","","",""
"22113","RB","Alfred","Morris","5.5","9","5400","WAS@CAR","WAS","CAR","P","Ribs","",""
"27229","RB","Ameer","Abdullah","5.9","9","5300","OAK@DET","DET","OAK","","","",""
"6535","WR","Kenny","Britt","5.1","9","5300","STL@BAL","STL","BAL","","","",""
"45723","TE","Crockett","Gillmore","9.2","7","5300","STL@BAL","BAL","STL","","","",""
"22991","RB","Jonathan","Grimes","3.5","7","5300","NYJ@HOU","HOU","NYJ","","","",""
"11425","RB","Ryan","Mathews","10.4","9","5300","TB@PHI","PHI","TB","O","Concussion","",""
"31836","WR","Terrance","Williams","6.9","9","5300","DAL@MIA","DAL","MIA","","","",""
"6664","TE","Jacob","Tamme","8.5","8","5300","IND@ATL","ATL","IND","","","",""
"12531","D","Denver","Broncos","13.2","9","5300","DEN@CHI","DEN","CHI","","","",""
"6742","TE","Brent","Celek","4.2","9","5300","TB@PHI","PHI","TB","","","",""
"6627","WR","Ted","Ginn Jr.","8.4","9","5200","WAS@CAR","CAR","WAS","","","",""
"6607","WR","Mike","Wallace","5.8","9","5200","GB@MIN","MIN","GB","","","",""
"6448","TE","Martellus","Bennett","9.1","9","5200","DEN@CHI","CHI","DEN","","","",""
"46882","RB","Jay","Ajayi","4.5","2","5200","DAL@MIA","MIA","DAL","","","",""
"30403","WR","Chris","Conley","3.2","9","5200","KC@SD","KC","SD","","","",""
"7222","WR","James","Jones","10.7","9","5200","GB@MIN","GB","MIN","P","Quadriceps","",""
"6814","QB","Tarvaris","Jackson","6.1","1","5200","SF@SEA","SEA","SF","","","",""
"22219","WR","Jermaine","Kearse","5.8","9","5200","SF@SEA","SEA","SF","","","",""
"22234","RB","Chris","Polk","4.1","9","5200","NYJ@HOU","HOU","NYJ","Q","Hamstring","",""
"7919","QB","Kellen","Clemens","6.5","1","5200","KC@SD","SD","KC","","","",""
"31871","RB","Charles","Sims","8.3","9","5200","TB@PHI","TB","PHI","","","",""
"7857","WR","Wes","Welker","4.7","1","5200","STL@BAL","STL","BAL","","","",""
"7744","QB","Drew","Stanton","-0.1","2","5200","CIN@ARI","ARI","CIN","","","",""
"22047","TE","Ladarius","Green","10.4","7","5200","KC@SD","SD","KC","Q","Ankle","",""
"27050","WR","Tyler","Lockett","5.8","9","5200","SF@SEA","SEA","SF","","","",""
"14362","TE","Charles","Clay","8.1","9","5200","BUF@NE","BUF","NE","","","",""
"29780","TE","Zach","Ertz","6.2","9","5200","TB@PHI","PHI","TB","","","",""
"29685","WR","Robert","Woods","6.2","9","5100","BUF@NE","BUF","NE","","","",""
"29683","WR","Nelson","Agholor","2.9","6","5100","TB@PHI","PHI","TB","","","",""
