,2-pt,avg_yards/rec,comp,comp-%,fan_pts,fl,int,kick_td,pass_att,pass_tds,pass_yards,pass_yards/att,player,punt_td,rec,rec_tds,rec_yards,rush_att,rush_avg,rush_tds,rush_yards
112,0.0,5.6,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Justin Forsett,BAL",0.0,2.3,0.1,13.0,15.6,4.4,0.3,69.1
113,0.0,10.1,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Rashad Jennings,NYG",0.0,2.6,0.2,26.4,12.2,3.3,0.3,40.3
114,0.0,5.2,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Will Tukuafu,SEA",0.0,0.0,0.0,0.1,0.0,4.0,0.0,0.0
115,0.0,13.4,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Isaiah Crowell,CLE",0.0,1.3,0.0,16.9,13.5,4.0,0.3,54.5
116,0.0,7.6,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Charcandrick West,KC",0.0,1.3,0.1,9.6,4.9,4.8,0.3,23.4
117,0.0,6.4,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Jacquizz Rodgers,CHI",0.0,1.4,0.1,9.1,3.8,4.3,0.1,16.3
118,0.0,9.0,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"C.J. Anderson,DEN",0.0,2.9,0.1,26.1,12.1,3.8,0.4,46.4
119,0.0,8.0,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Javorius Allen,BAL",0.0,0.6,0.0,4.6,4.0,4.2,0.2,16.9
120,0.0,9.9,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"Darren Sproles,PHI",0.0,2.9,0.1,28.7,4.7,3.9,0.3,18.4
121,0.0,12.2,,,0.0,0.1,0.0,0.0,,0.0,0.0,,"C.J. Spiller,NO",0.0,2.5,0.2,30.8,4.6,4.3,0.1,19.6
122,0.0,10.2,,,0.0,0.0,0.0,0.0,,0.0,0.0,,"Orleans Darkwa,NYG",0.0,0.0,0.0,0.1,0.0,3.3,0.0,0.1
